County	2020 Total Population	2020 LCDC Total	Ratio of 2020 Population to LCDC	Ratio of LCDCs to 100,000 Population	Rank
Reagan	4,226	0	-	0.0	-
Real	3,407	0	-	0.0	-
Red River	12,610	0	-	0.0	-
Reeves	15,707	1	15,707.0	6.4	161
Refugio	7,573	1	7,573.0	13.2	117
Roberts	983	0	-	0.0	-
Robertson	16,888	1	16,888.0	5.9	162
Rockwall	102,243	11	9,294.8	10.8	137
Runnels	11,009	1	11,009.0	9.1	150
Rusk	52,767	26	2,029.5	49.3	7
Sabine	9,936	1	9,936.0	10.1	145
San Augustine	8,405	0	-	0.0	-
San Jacinto	28,844	1	28,844.0	3.5	175
San Patricio	71,325	16	4,457.8	22.4	63
San Saba	5,873	2	2,936.5	34.1	24
Schleicher	3,312	0	-	0.0	-
Scurry	18,368	2	9,184.0	10.9	134
Shackelford	3,405	1	3,405.0	29.4	43
Shelby	25,545	0	-	0.0	-
Sherman	3,276	0	-	0.0	-
Smith	235,143	72	3,265.9	30.6	35
Somervell	9,294	0	-	0.0	-
Starr	64,731	5	12,946.2	7.7	154
Stephens	9,570	17	562.9	177.6	1
Sterling	1,252	0	-	0.0	-
Stonewall	1,523	0	-	0.0	-
Sutton	4,381	1	4,381.0	22.8	60
Swisher	7,414	0	-	0.0	-
Tarrant	2,143,755	375	5,716.7	17.5	89
Taylor	139,457	55	2,535.6	39.4	15
Terrell	1,054	0	-	0.0	-
Terry	13,040	1	13,040.0	7.7	155
Throckmorton	1,519	0	-	0.0	-
Titus	32,953	1	32,953.0	3.0	177
Tom Green	123,276	41	3,006.7	33.3	29
Travis	1,291,502	386	3,345.9	29.9	39
Trinity	14,233	2	7,116.5	14.1	111
Tyler	21,343	1	21,343.0	4.7	167
Upshur	41,655	8	5,206.9	19.2	76
Upton	3,983	0	-	0.0	-
Uvalde	27,937	5	5,587.4	17.9	85
Val Verde	48,253	2	24,126.5	4.1	172
Van Zandt	55,469	18	3,081.6	32.5	31
Victoria	97,744	17	5,749.6	17.4	90
Walker	73,997	22	3,363.5	29.7	41
Waller	50,731	6	8,455.2	11.8	129
Ward	13,592	1	13,592.0	7.4	156
Washington	35,155	4	8,788.8	11.4	131
Webb	276,183	94	2,938.1	34.0	26
Wharton	41,941	1	41,941.0	2.4	179
Wheeler	5,783	0	-	0.0	-
Wichita	133,138	27	4,931.0	20.3	71
Wilbarger	13,038	4	3,259.5	30.7	33
Willacy	22,134	1	22,134.0	4.5	170
Williamson	589,914	107	5,513.2	18.1	83
Wilson	51,802	5	10,360.4	9.7	149
Winkler	9,295	1	9,295.0	10.8	138
Wise	65,807	7	9,401.0	10.6	139
Wood	45,292	18	2,516.2	39.7	14
Yoakum	9,225	0	-	0.0	-
Young	18,712	3	6,237.3	16.0	93
Zapata	14,409	3	4,803.0	20.8	68
Zavala	12,682	2	6,341.0	15.8	94
Texas Total	29,677,668	5,955	4,983.7	20.1	- 
