County	2020 Total Population	2020 LPC Total	Ratio of 2020 Population to LPC	Ratio of LPCs to 100,000 Population	Rank
Wilbarger	13,038	14	931.3	107.4	16
Willacy	22,134	11	2,012.2	49.7	109
Williamson	589,914	504	1,170.5	85.4	34
Wilson	51,802	27	1,918.6	52.1	94
Winkler	9,295	0	-	0.0	-
Wise	65,807	34	1,935.5	51.7	97
Wood	45,292	25	1,811.7	55.2	81
Yoakum	9,225	1	9,225.0	10.8	208
Young	18,712	10	1,871.2	53.4	91
Zapata	14,409	1	14,409.0	6.9	212
Zavala	12,682	2	6,341.0	15.8	197
Texas Total	29,677,668	22,709	1,306.9	76.5	- 
