".Milam County, Texas","24,754","24,724","25,106"
".Mills County, Texas","4,456","4,439","4,480"
".Mitchell County, Texas","8,990","8,985","9,070"
".Montague County, Texas","19,965","19,969","20,409"
".Montgomery County, Texas","620,443","624,938","648,886"
".Moore County, Texas","21,358","21,273","21,118"
".Morris County, Texas","11,973","11,963","12,030"
".Motley County, Texas","1,063","1,052","1,067"
".Nacogdoches County, Texas","64,653","64,624","64,668"
".Navarro County, Texas","52,624","52,784","53,591"
".Newton County, Texas","12,217","12,163","12,241"
".Nolan County, Texas","14,738","14,721","14,597"
".Nueces County, Texas","353,178","353,090","353,079"
".Ochiltree County, Texas","10,015","9,960","9,782"
".Oldham County, Texas","1,758","1,761","1,717"
".Orange County, Texas","84,808","84,702","84,742"
".Palo Pinto County, Texas","28,409","28,427","28,686"
".Panola County, Texas","22,491","22,513","22,675"
".Parker County, Texas","148,222","149,432","156,764"
".Parmer County, Texas","9,869","9,851","9,813"
".Pecos County, Texas","15,193","15,165","15,118"
".Polk County, Texas","50,123","50,505","51,899"
".Potter County, Texas","118,525","118,173","116,547"
".Presidio County, Texas","6,131","6,102","6,140"
".Rains County, Texas","12,164","12,199","12,509"
".Randall County, Texas","140,753","141,231","143,854"
".Reagan County, Texas","3,385","3,376","3,253"
".Real County, Texas","2,758","2,743","2,826"
".Red River County, Texas","11,587","11,550","11,555"
".Reeves County, Texas","14,748","14,730","14,487"
".Refugio County, Texas","6,741","6,747","6,756"
".Roberts County, Texas",827,823,797
".Robertson County, Texas","16,757","16,740","16,958"
".Rockwall County, Texas","107,819","109,090","116,381"
".Runnels County, Texas","9,900","9,921","9,943"
".Rusk County, Texas","52,214","52,225","52,743"
".Sabine County, Texas","9,894","9,881","10,039"
".San Augustine County, Texas","7,918","7,919","7,922"
".San Jacinto County, Texas","27,402","27,483","27,878"
".San Patricio County, Texas","68,755","68,772","69,699"
".San Saba County, Texas","5,730","5,730","5,827"
".Schleicher County, Texas","2,451","2,442","2,429"
".Scurry County, Texas","16,932","16,931","16,824"
".Shackelford County, Texas","3,105","3,122","3,212"
".Shelby County, Texas","24,022","23,926","23,939"
".Sherman County, Texas","2,782","2,780","2,798"
".Smith County, Texas","233,479","234,063","237,186"
".Somervell County, Texas","9,205","9,214","9,469"
".Starr County, Texas","65,920","65,835","66,049"
".Stephens County, Texas","9,101","9,079","9,173"
".Sterling County, Texas","1,372","1,383","1,381"
".Stonewall County, Texas","1,245","1,245","1,217"
".Sutton County, Texas","3,372","3,362","3,319"
".Swisher County, Texas","6,971","6,957","7,008"
".Tarrant County, Texas","2,110,640","2,114,709","2,126,477"
".Taylor County, Texas","143,208","143,383","143,326"
".Terrell County, Texas",760,744,724
".Terry County, Texas","11,831","11,792","11,754"
".Throckmorton County, Texas","1,440","1,443","1,495"
".Titus County, Texas","31,247","31,264","31,183"
".Tom Green County, Texas","120,003","120,105","119,411"
".Travis County, Texas","1,290,188","1,296,100","1,305,154"
".Trinity County, Texas","13,602","13,623","13,827"
".Tyler County, Texas","19,798","19,797","20,077"
".Upshur County, Texas","40,892","40,975","41,774"
".Upton County, Texas","3,308","3,296","3,265"
".Uvalde County, Texas","24,564","24,540","24,729"
".Val Verde County, Texas","47,586","47,582","47,564"
".Van Zandt County, Texas","59,541","59,690","61,275"
".Victoria County, Texas","91,319","91,236","90,964"
".Walker County, Texas","76,400","76,543","77,977"
".Waller County, Texas","56,794","57,349","59,781"
".Ward County, Texas","11,644","11,656","11,194"
".Washington County, Texas","35,805","35,837","35,891"
".Webb County, Texas","267,114","267,234","267,945"
".Wharton County, Texas","41,570","41,550","41,721"
".Wheeler County, Texas","4,990","4,980","4,927"
".Wichita County, Texas","129,350","129,546","130,069"
".Wilbarger County, Texas","12,887","12,846","12,731"
".Willacy County, Texas","20,164","20,129","20,316"
".Williamson County, Texas","609,017","615,266","643,026"
".Wilson County, Texas","49,753","49,994","51,257"
".Winkler County, Texas","7,791","7,749","7,415"
".Wise County, Texas","68,632","68,866","71,714"
".Wood County, Texas","44,843","45,010","45,875"
".Yoakum County, Texas","7,694","7,669","7,607"
".Young County, Texas","17,867","17,839","17,977"
".Zapata County, Texas","13,889","13,884","13,908"
".Zavala County, Texas","9,670","9,652","9,534"
"Note: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates.  For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020. ",,,
Suggested Citation:,,,
"Annual Estimates of the Resident Population for Counties in Texas: April 1, 2020 to July 1, 2021
(CO-EST2021-POP-48)",,,
"Source: U.S. Census Bureau, Population Division",,,
Release Date: March 2022,,,
