"Fiscal.Year","County","CPS_confirmed_victim","CPS_unconfirmed_victim","CPS_family_preservation_removals","CPS_investigation_removals","Children.in.DFPS.Responsibility","Adult_disabled_18_64_pop","Adult_disabled_18_64_perc","Adult_65_over_pop","Adult_65_over_perc","APS_total_county_pop","APS_clients","APS_service_stages","APS_alleged_victims_in_repeat_invest","APS_alleged_victims_in_initial_invest","APS_recidivism"
2020,"Shelby",63,186,9,24,71,2102,8,4567,18,25545,48,49,13,109,0.119
2020,"Sherman",11,9,0,2,6,247,8,577,18,3276,3,3,0,1,0
2020,"Smith",634,1429,40,169,501,15789,7,40042,17,235143,461,463,142,963,0.147
2020,"Somervell",29,64,1,2,16,497,5,2061,22,9294,3,3,4,20,0.2
2020,"Starr",117,393,11,15,89,5449,8,8200,13,64731,98,98,21,197,0.107
2020,"Stephens",27,79,0,14,31,903,9,2008,21,9570,15,15,5,37,0.135
2020,"Sterling",2,8,1,0,1,100,8,318,25,1252,1,1,0,3,0
2020,"Stonewall",8,8,NA,NA,1,130,9,476,31,1523,7,7,3,10,0.3
2020,"Sutton",9,25,0,1,16,129,3,921,21,4381,4,4,4,16,0.25
2020,"Swisher",15,60,0,3,36,529,7,1491,20,7414,23,23,9,34,0.265
2020,"Tarrant",6203,13053,159,489,2048,117544,5,263021,12,2143755,2209,2261,874,5995,0.146
2020,"Taylor",943,1683,88,242,858,10541,8,21211,15,139457,573,586,285,1365,0.209
2020,"Terrell",2,3,NA,NA,NA,41,4,327,31,1054,5,5,1,7,0.143
2020,"Terry",56,122,2,26,45,902,7,2042,16,13040,104,116,30,151,0.199
2020,"Throckmorton",8,12,2,4,7,127,8,425,28,1519,4,4,3,7,0.429
2020,"Titus",90,207,7,24,92,1951,6,5169,16,32953,51,53,12,122,0.098
2020,"Tom Green",431,1179,45,155,547,8075,7,19624,16,123276,567,578,212,1086,0.195
2020,"Travis",2391,5821,150,520,1813,59772,5,131483,10,1291502,1041,1059,541,3191,0.17
2020,"Trinity",55,128,0,5,40,1847,13,3908,27,14233,52,52,12,94,0.128
2020,"Tyler",47,141,0,14,87,2481,12,4814,23,21343,41,41,20,103,0.194
2020,"Unknown",NA,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Upshur",124,236,11,30,183,3784,9,8128,20,41655,61,63,29,158,0.184
2020,"Upton",5,25,NA,NA,11,151,4,758,19,3983,3,4,1,8,0.125
2020,"Uvalde",100,279,11,9,76,2040,7,4633,17,27937,58,59,20,121,0.165
2020,"Val Verde",118,251,1,6,55,3602,7,7272,15,48253,22,22,11,139,0.079
2020,"Van Zandt",235,355,13,49,207,4743,9,12148,22,55469,77,77,44,270,0.163
2020,"Victoria",263,513,17,22,214,6798,7,15616,16,97744,184,186,46,350,0.131
2020,"Walker",58,382,0,14,67,2902,4,10231,14,73997,71,71,33,162,0.204
2020,"Waller",55,215,5,13,70,3406,7,7098,14,50731,59,60,17,116,0.147
2020,"Ward",61,103,6,34,77,763,6,1886,14,13592,21,21,9,61,0.148
2020,"Washington",61,156,0,23,58,2068,6,7694,22,35155,40,41,11,115,0.096
2020,"Webb",568,1824,84,90,443,16358,6,27904,10,276183,185,187,56,559,0.1
2020,"Wharton",116,288,5,10,62,2891,7,7669,18,41941,53,54,25,145,0.172
2020,"Wheeler",10,39,0,2,4,360,6,1290,22,5783,9,10,4,16,0.25
2020,"Wichita",526,1598,19,134,411,12081,9,21957,16,133138,737,747,290,1311,0.221
2020,"Wilbarger",53,164,3,20,42,1434,11,2656,20,13038,118,120,39,158,0.247
2020,"Willacy",108,224,11,9,70,1950,9,3199,14,22134,48,48,17,108,0.157
2020,"Williamson",690,2731,19,97,389,31941,5,76241,13,589914,311,313,155,1026,0.151
2020,"Wilson",73,214,6,19,82,3363,6,9292,18,51802,96,96,26,170,0.153
2020,"Winkler",42,49,4,15,36,494,5,1107,12,9295,6,6,6,27,0.222
2020,"Wise",217,487,7,35,133,6029,9,11436,17,65807,42,42,15,191,0.079
2020,"Wood",119,256,5,34,100,4088,9,12628,28,45292,144,146,42,257,0.163
2020,"Yoakum",10,42,7,1,14,363,4,1237,13,9225,5,5,2,15,0.133
2020,"Young",62,162,10,13,65,1196,6,4163,22,18712,53,53,24,126,0.19
2020,"Zapata",34,144,0,1,24,1219,8,1939,13,14409,20,20,3,39,0.077
2020,"Zavala",48,136,6,9,26,1414,11,1756,14,12682,5,5,3,41,0.073
2021,"Anderson",148,372,5,33,185,5215,9,9138,16,58162,100,100,30,224,0.134
2021,"Andrews",46,165,3,8,44,1131,5,2253,10,23290,15,15,2,42,0.048
2021,"Angelina",252,826,14,54,203,8401,9,15150,17,90739,144,145,40,375,0.107
2021,"Aransas",79,283,3,19,98,2243,8,7843,28,28232,74,74,24,211,0.114
2021,"Archer",18,61,0,2,12,529,6,1770,21,8303,49,51,14,68,0.206
2021,"Armstrong",5,18,NA,NA,NA,71,4,587,30,1946,NA,NA,1,2,0.5
2021,"Atascosa",228,589,31,47,230,2934,6,8111,15,52646,94,94,39,219,0.178
2021,"Austin",65,182,1,13,27,2118,7,6516,21,30609,46,46,17,103,0.165
2021,"Bailey",16,48,NA,NA,36,460,6,1126,15,7749,12,14,3,23,0.13
2021,"Bandera",53,107,3,15,53,2026,10,6338,30,21318,47,47,25,120,0.208
2021,"Bastrop",205,700,19,47,219,6027,7,15121,17,87351,123,124,44,325,0.135
2021,"Baylor",27,47,0,8,24,267,7,898,25,3620,13,13,3,27,0.111
2021,"Bee",134,299,16,49,120,3251,9,4468,13,34694,18,18,23,147,0.156
2021,"Bell",1728,3769,82,659,1802,30735,9,38752,11,357856,411,420,223,1366,0.163
2021,"Bexar",5641,15540,524,1198,4858,168269,8,273788,13,2133664,3527,3584,1254,7870,0.159
2021,"Blanco",17,26,0,7,20,759,7,3295,28,11609,17,17,2,44,0.045
2021,"Borden",7,3,NA,NA,NA,63,9,220,32,692,NA,NA,NA,NA,NA
2021,"Bosque",51,164,1,24,78,1154,7,4658,26,17729,21,21,12,87,0.138
2021,"Bowie",211,758,13,45,148,5885,6,16868,18,92534,154,157,39,315,0.124
2021,"Brazoria",514,1663,18,69,301,17692,5,51114,13,382793,288,293,111,891,0.125
2021,"Brazos",630,1223,30,123,308,10488,4,22891,10,233503,202,203,80,450,0.178
2021,"Brewster",18,77,0,3,5,807,9,1989,22,9100,39,39,20,102,0.196
2021,"Briscoe",1,8,0,1,4,75,5,451,29,1563,4,4,2,9,0.222
2021,"Brooks",55,73,7,11,40,665,9,1484,21,7160,16,16,5,41,0.122
2021,"Brown",241,321,30,73,288,3102,8,8722,22,38962,145,149,60,345,0.174
2021,"Burleson",55,132,0,23,76,1198,7,3996,22,17782,43,44,15,82,0.183
2021,"Burnet",191,335,6,57,190,4058,8,11506,24,48769,52,52,31,201,0.154
2021,"Caldwell",141,372,15,31,140,3202,7,7157,16,44960,87,90,30,198,0.152
2021,"Calhoun",54,141,1,7,45,2040,9,4223,18,22948,32,32,12,90,0.133
2021,"Callahan",46,133,4,16,47,1172,9,3157,23,13465,38,39,21,111,0.189
2021,"Cameron",1195,3078,107,132,600,22736,5,62948,15,429514,593,598,259,1640,0.158
2021,"Camp",46,92,3,16,41,1061,8,2553,19,13411,25,25,6,61,0.098
2021,"Carson",15,42,0,5,14,271,5,1082,19,5787,10,10,3,19,0.158
2021,"Cass",101,355,14,32,74,2525,8,7443,25,30269,56,56,19,136,0.14
2021,"Castro",17,55,0,7,16,285,4,1256,18,7024,10,10,7,25,0.28
2021,"Chambers",75,287,2,17,33,2146,5,5780,13,43243,70,73,23,101,0.228
2021,"Cherokee",212,591,28,36,212,3161,6,9365,18,52263,107,108,43,243,0.177
2021,"Childress",23,62,0,5,26,519,7,1221,17,7053,18,19,10,31,0.323
2021,"Clay",32,77,8,8,25,777,8,2403,25,9693,37,37,20,82,0.244
2021,"Cochran",13,39,0,4,9,226,7,612,18,3371,25,26,9,36,0.25
2021,"Coke",4,20,0,1,6,178,6,899,28,3205,14,14,7,38,0.184
2021,"Coleman",39,67,2,12,41,516,6,2157,26,8443,39,40,15,86,0.174
2021,"Collin",1278,4032,25,136,458,34676,3,131278,12,1069017,417,419,178,1420,0.125
2021,"Collingsworth",5,33,0,3,14,230,7,685,21,3227,13,13,6,23,0.261
2021,"Colorado",47,112,0,12,19,1172,5,4927,23,21318,46,46,9,83,0.108
2021,"Comal",391,953,16,93,306,10765,7,29374,19,152183,200,205,65,463,0.14
2021,"Comanche",44,147,0,14,36,820,6,3319,26,12980,57,57,12,94,0.128
2021,"Concho",4,35,5,2,8,222,5,847,20,4149,12,12,6,24,0.25
2021,"Cooke",148,378,6,40,120,2477,6,8164,20,39847,71,72,23,138,0.167
2021,"Coryell",455,935,5,117,346,9231,12,7340,9,78703,108,111,45,262,0.172
2021,"Cottle",8,11,0,4,7,139,9,450,30,1507,8,8,1,10,0.1
2021,"Crane",7,27,NA,NA,8,232,4,899,14,6434,6,6,0,14,0
2021,"Crockett",7,37,NA,NA,13,213,5,903,22,4071,5,5,9,23,0.391
2021,"Crosby",10,62,0,8,24,623,10,1466,23,6509,65,74,19,82,0.232
2021,"Culberson",10,13,0,3,5,294,13,571,26,2229,3,3,0,8,0
2021,"Dallam",57,82,0,20,50,538,7,703,10,7301,5,6,2,10,0.2
2021,"Dallas",6679,13934,74,1068,3329,135717,5,310440,11,2771223,2622,2650,990,7139,0.139
2021,"Dawson",38,138,2,8,35,1555,11,2054,15,13567,36,37,9,83,0.108
2021,"Deaf Smith",73,191,1,18,40,876,5,2358,13,18043,30,30,9,70,0.129
2021,"Delta",8,40,NA,NA,7,418,8,1380,26,5370,10,10,4,36,0.111
2021,"Denton",1480,4338,48,283,934,39380,4,105630,11,925643,287,287,133,1326,0.1
2021,"DeWitt",32,154,13,3,42,1781,8,4589,21,21907,42,43,10,89,0.112
2021,"Dickens",7,10,0,6,6,214,10,591,28,2149,7,7,6,15,0.4
2021,"Dimmit",46,96,0,12,45,1495,12,1840,15,11974,22,23,5,52,0.096
2021,"Donley",15,18,2,2,13,137,4,876,26,3386,11,11,2,19,0.105
2021,"Duval",53,108,14,9,59,1433,12,2267,19,11771,20,20,12,50,0.24
2021,"Eastland",105,173,12,34,74,1844,10,4258,23,18149,71,74,33,144,0.229
2021,"Ector",375,1614,33,134,435,11039,6,19134,10,190713,206,211,117,609,0.192
2021,"Edwards",7,14,NA,NA,NA,217,11,612,31,1979,1,1,0,6,0
2021,"El Paso",1681,4947,59,158,598,59175,7,120770,14,883160,1168,1181,554,3823,0.145
2021,"Ellis",278,1227,8,16,79,10733,6,26556,15,180752,101,102,47,398,0.118
2021,"Erath",129,321,4,22,58,2453,6,6437,15,41950,20,20,10,112,0.089
