FIPS,State,County,% Frequent Mental Distress,Average Number of Mentally Unhealthy Days,# Deaths,Suicide Rate (Age-Adjusted),% Food Insecure,% Limited Access to Healthy Foods,% Physically Inactive,% With Access to Exercise Opportunities,80th Percentile Income,20th Percentile Income,Income Ratio,% Severe Housing Problems,Dev2019
48095,Texas,Concho,15,4.6,,,13,12,35,70,102250,23800,4.3,13,0.440235899
48097,Texas,Cooke,15,4.7,51,24,15,3,29,42,120960,30338,4.0,12,1.602255492
48099,Texas,Coryell,15,4.8,78,20,16,26,31,61,98991,26324,3.8,13,1.651797282
48101,Texas,Cottle,18,5.2,,,23,57,37,83,77167,15041,5.1,9,0.264910894
48103,Texas,Crane,13,4.2,,,8,4,34,92,113617,22051,5.2,14,0.530405407
48105,Texas,Crockett,13,4.2,,,12,2,34,91,81086,21368,3.8,14,0.511759421
48107,Texas,Crosby,16,4.7,,,17,2,39,21,81664,19207,4.3,15,0.478054355
48109,Texas,Culberson,17,4.9,,,19,4,44,93,77545,16370,4.7,15,0.139973945
48111,Texas,Dallam,14,4.5,11,29,13,18,33,80,90400,30518,3.0,10,0.381757869
48113,Texas,Dallas,13,4.3,1433,11,14,7,32,96,123520,27949,4.4,21,34.79378849
48115,Texas,Dawson,16,4.8,13,21,19,19,40,61,92303,17050,5.4,16,0.685004114
48117,Texas,Deaf Smith,14,4.4,14,15,13,7,37,75,97473,26807,3.6,13,0.481650085
48119,Texas,Delta,16,4.9,,,18,2,29,59,107295,20732,5.2,14,0.903400104
48121,Texas,Denton,12,3.9,498,11,11,5,24,94,170790,41922,4.1,14,13.11210428
48123,Texas,DeWitt,15,4.6,21,20,15,2,35,72,109548,19898,5.5,13,1.297877859
48125,Texas,Dickens,15,4.6,,,18,6,34,64,93250,14346,6.5,13,0.30024283
48127,Texas,Dimmit,17,4.9,,,20,27,45,61,83868,9970,8.4,19,0.865797923
48129,Texas,Donley,16,4.9,,,16,6,30,74,94654,23986,3.9,13,0.294192121
48131,Texas,Duval,15,4.5,12,23,17,14,40,,87013,16871,5.2,20,0.488440962
48133,Texas,Eastland,16,5.0,18,21,18,11,32,45,86924,16186,5.4,9,0.989360314
48135,Texas,Ector,14,4.3,125,16,12,7,35,77,123122,26767,4.6,16,3.756287909
48137,Texas,Edwards,15,4.5,,,13,11,37,1,74556,21870,3.4,15,0.242811874
48139,Texas,Ellis,14,4.3,118,13,12,7,28,67,138469,36427,3.8,13,4.266165569
48141,Texas,El Paso,14,4.2,455,11,15,9,30,80,96802,19350,5.0,18,10.57945738
48143,Texas,Erath,15,4.6,27,12,15,18,29,63,111390,22474,5.0,19,1.184303024
48145,Texas,Falls,17,5.2,10,12,19,5,37,39,84394,13825,6.1,18,1.282451672
48147,Texas,Fannin,16,4.8,42,23,15,13,29,28,115224,24221,4.8,12,1.337334998
48149,Texas,Fayette,15,4.6,14,10,13,6,30,55,109719,25094,4.4,11,1.269996779
48151,Texas,Fisher,15,4.6,,,16,4,31,,104111,23931,4.4,9,0.393870604
48153,Texas,Floyd,14,4.4,,,13,4,36,75,93014,20651,4.5,15,0.498320036
48155,Texas,Foard,16,4.9,,,14,41,31,0,90611,20929,4.3,7,0.342822038
48157,Texas,Fort Bend,11,3.6,404,10,10,6,26,90,179564,45085,4.0,14,13.09895804
48159,Texas,Franklin,14,4.4,11,21,14,21,26,20,124489,31696,3.9,14,1.916912655
48161,Texas,Freestone,16,4.9,24,24,17,9,33,29,113428,20667,5.5,13,2.601905831
48163,Texas,Frio,15,4.4,,,15,12,40,86,97353,15207,6.4,16,0.771273567
48165,Texas,Gaines,16,4.8,,,13,1,36,45,123952,22966,5.4,14,0.795724298
48167,Texas,Galveston,14,4.3,268,16,14,9,30,87,150999,28223,5.4,15,7.754100793
48169,Texas,Garza,15,4.4,,,16,5,38,,91313,16767,5.4,8,0.294324509
48171,Texas,Gillespie,13,4.2,31,18,13,3,27,66,119352,27311,4.4,15,0.687513683
