"State","County","Number of providers with 30-patient waivers","Number of providers with 100-patient waivers","Number of providers with 275-patient waivers","Total number of waivered providers","Patient capacity","Patient capacity rate","High need for treatment services","Low-to-no patient capacity"
"Iowa","Cerro Gordo County","3","1","1","5","465","1,079.64","Yes","No"
"Iowa","Cherokee County","0","0","0","0","0","0","No","Yes"
"Iowa","Chickasaw County","0","0","0","0","0","0","No","Yes"
"Iowa","Clarke County","0","0","0","0","0","0","No","Yes"
"Iowa","Clay County","0","0","0","0","0","0","No","Yes"
"Iowa","Clayton County","0","0","0","0","0","0","No","Yes"
"Iowa","Clinton County","1","0","1","2","305","644.7","No","No"
"Iowa","Crawford County","0","0","0","0","0","0","No","Yes"
"Iowa","Dallas County","3","1","0","4","190","224.81","No","Yes"
"Iowa","Davis County","0","0","0","0","0","0","No","Yes"
"Iowa","Decatur County","1","1","0","2","130","1,596.86","No","No"
"Iowa","Delaware County","0","0","0","0","0","0","No","Yes"
"Iowa","Des Moines County","0","0","0","0","0","0","No","Yes"
"Iowa","Dickinson County","1","0","0","1","30","173.98","No","Yes"
"Iowa","Dubuque County","2","2","0","4","260","268.03","No","Yes"
"Iowa","Emmet County","0","0","0","0","0","0","No","Yes"
"Iowa","Fayette County","0","0","0","0","0","0","No","Yes"
"Iowa","Floyd County","1","0","0","1","30","189","No","Yes"
"Iowa","Franklin County","0","0","0","0","0","0","No","Yes"
"Iowa","Fremont County","0","0","0","0","0","0","No","Yes"
"Iowa","Greene County","0","0","0","0","0","0","No","Yes"
"Iowa","Grundy County","0","0","0","0","0","0","No","Yes"
"Iowa","Guthrie County","0","0","0","0","0","0","No","Yes"
"Iowa","Hamilton County","0","0","0","0","0","0","No","Yes"
"Iowa","Hancock County","0","0","0","0","0","0","No","Yes"
"Iowa","Hardin County","1","0","0","1","30","174.16","No","Yes"
"Iowa","Harrison County","0","0","0","0","0","0","No","Yes"
"Iowa","Henry County","0","0","0","0","0","0","No","Yes"
"Iowa","Howard County","0","0","0","0","0","0","No","Yes"
"Iowa","Humboldt County","0","0","0","0","0","0","No","Yes"
"Iowa","Ida County","0","0","0","0","0","0","No","Yes"
"Iowa","Iowa County","0","0","0","0","0","0","No","Yes"
"Iowa","Jackson County","0","0","0","0","0","0","No","Yes"
"Iowa","Jasper County","0","0","0","0","0","0","No","Yes"
"Iowa","Jefferson County","0","0","0","0","0","0","No","Yes"
"Iowa","Johnson County","36","6","0","42","1,680","1,146.39","No","No"
"Iowa","Jones County","0","0","0","0","0","0","No","Yes"
"Iowa","Keokuk County","0","0","0","0","0","0","No","Yes"
"Iowa","Kossuth County","0","0","0","0","0","0","No","Yes"
"Iowa","Lee County","1","0","0","1","30","86.67","Yes","Yes"
"Iowa","Linn County","7","1","0","8","310","139.85","No","Yes"
"Iowa","Louisa County","0","0","0","0","0","0","No","Yes"
"Iowa","Lucas County","0","0","0","0","0","0","No","Yes"
"Iowa","Lyon County","0","0","0","0","0","0","No","Yes"
"Iowa","Madison County","0","0","0","0","0","0","No","Yes"
"Iowa","Mahaska County","0","0","0","0","0","0","No","Yes"
"Iowa","Marion County","0","0","0","0","0","0","No","Yes"
"Iowa","Marshall County","2","0","0","2","60","148.84","No","Yes"
"Iowa","Mills County","0","0","0","0","0","0","No","Yes"
"Iowa","Mitchell County","0","0","0","0","0","0","No","Yes"
"Iowa","Monona County","0","0","0","0","0","0","No","Yes"
"Iowa","Monroe County","0","0","0","0","0","0","No","Yes"
"Iowa","Montgomery County","0","0","0","0","0","0","No","Yes"
"Iowa","Muscatine County","0","0","0","0","0","0","No","Yes"
"Iowa","O'Brien County","0","0","0","0","0","0","No","Yes"
"Iowa","Osceola County","0","0","0","0","0","0","No","Yes"
"Iowa","Page County","2","0","0","2","60","389.84","No","Yes"
"Iowa","Palo Alto County","0","0","0","0","0","0","No","Yes"
"Iowa","Plymouth County","1","1","1","3","405","1,607.14","No","No"
"Iowa","Pocahontas County","0","0","0","0","0","0","No","Yes"
"Iowa","Polk County","26","3","3","32","1,905","401.86","No","Yes"
"Iowa","Pottawattamie County","2","0","0","2","60","64.11","No","Yes"
"Iowa","Poweshiek County","0","0","0","0","0","0","No","Yes"
"Iowa","Ringgold County","0","0","0","0","0","0","No","Yes"
"Iowa","Sac County","0","0","0","0","0","0","No","Yes"
"Iowa","Scott County","5","1","0","6","250","144.95","No","Yes"
"Iowa","Shelby County","0","0","0","0","0","0","No","Yes"
"Iowa","Sioux County","1","0","0","1","30","85.96","No","Yes"
"Iowa","Story County","2","0","0","2","60","61.8","No","Yes"
"Iowa","Tama County","0","0","0","0","0","0","No","Yes"
"Iowa","Taylor County","0","0","0","0","0","0","No","Yes"
"Iowa","Union County","0","0","0","0","0","0","No","Yes"
"Iowa","Van Buren County","0","0","0","0","0","0","No","Yes"
"Iowa","Wapello County","1","0","0","1","30","85.76","No","Yes"
"Iowa","Warren County","1","0","0","1","30","60.37","No","Yes"
"Iowa","Washington County","1","0","0","1","30","134.64","No","Yes"
"Iowa","Wayne County","0","0","0","0","0","0","No","Yes"
"Iowa","Webster County","1","0","0","1","30","81.59","No","Yes"
"Iowa","Winnebago County","0","0","0","0","0","0","No","Yes"
"Iowa","Winneshiek County","0","0","0","0","0","0","No","Yes"
"Iowa","Woodbury County","7","3","0","10","510","496.21","No","No"
"Iowa","Worth County","0","0","0","0","0","0","No","Yes"
"Iowa","Wright County","1","0","0","1","30","234.76","No","Yes"
"Kansas","Allen County","1","0","0","1","30","235.96","No","Yes"
"Kansas","Anderson County","0","0","0","0","0","0","No","Yes"
"Kansas","Atchison County","1","2","0","3","230","1,404.15","Yes","No"
"Kansas","Barber County","1","0","0","1","30","639.93","No","No"
"Kansas","Barton County","1","0","0","1","30","112.04","No","Yes"
"Kansas","Bourbon County","0","0","1","1","275","1,881.37","No","No"
"Kansas","Brown County","0","0","0","0","0","0","No","Yes"
"Kansas","Butler County","1","0","0","1","30","44.76","No","Yes"
"Kansas","Chase County","0","0","0","0","0","0","No","Yes"
"Kansas","Chautauqua County","0","0","0","0","0","0","No","Yes"
"Kansas","Cherokee County","0","0","0","0","0","0","No","Yes"
"Kansas","Cheyenne County","0","0","0","0","0","0","No","Yes"
"Kansas","Clark County","0","0","0","0","0","0","No","Yes"
"Kansas","Clay County","0","0","0","0","0","0","Yes","Yes"
"Kansas","Cloud County","0","0","0","0","0","0","No","Yes"
"Kansas","Coffey County","0","0","0","0","0","0","No","Yes"
"Kansas","Comanche County","0","0","0","0","0","0","No","Yes"
"Kansas","Cowley County","0","0","0","0","0","0","Yes","Yes"
"Kansas","Crawford County","3","0","0","3","90","229.8","No","Yes"
"Kansas","Decatur County","0","0","0","0","0","0","No","Yes"
"Kansas","Dickinson County","0","0","0","0","0","0","No","Yes"
"Kansas","Doniphan County","0","0","0","0","0","0","No","Yes"
"Kansas","Douglas County","4","0","2","6","670","560.95","No","No"
"Kansas","Edwards County","0","0","0","0","0","0","No","Yes"
"Kansas","Elk County","0","0","0","0","0","0","No","Yes"
"Kansas","Ellis County","0","0","0","0","0","0","No","Yes"
"Kansas","Ellsworth County","0","0","0","0","0","0","No","Yes"
"Kansas","Finney County","1","1","0","2","130","354.01","No","Yes"
"Kansas","Ford County","0","0","0","0","0","0","No","Yes"
"Kansas","Franklin County","0","0","0","0","0","0","No","Yes"
"Kansas","Geary County","0","0","0","0","0","0","No","Yes"
"Kansas","Gove County","0","0","0","0","0","0","No","Yes"
"Kansas","Graham County","0","0","0","0","0","0","No","Yes"
"Kansas","Grant County","0","0","0","0","0","0","No","Yes"
"Kansas","Gray County","0","0","0","0","0","0","No","Yes"
"Kansas","Greeley County","0","0","0","0","0","0","No","Yes"
"Kansas","Greenwood County","0","0","0","0","0","0","No","Yes"
"Kansas","Hamilton County","0","0","0","0","0","0","No","Yes"
"Kansas","Harper County","0","0","0","0","0","0","No","Yes"
"Kansas","Harvey County","4","0","0","4","120","343.71","No","Yes"
"Kansas","Haskell County","0","0","0","0","0","0","No","Yes"
"Kansas","Hodgeman County","0","0","0","0","0","0","No","Yes"
"Kansas","Jackson County","0","0","0","0","0","0","No","Yes"
"Kansas","Jefferson County","1","0","0","1","30","158.76","No","Yes"
"Kansas","Jewell County","0","0","0","0","0","0","No","Yes"
"Kansas","Johnson County","30","13","2","45","2,750","470.53","No","Yes"
"Kansas","Kearny County","0","0","0","0","0","0","No","Yes"
"Kansas","Kingman County","0","1","0","1","100","1,339.23","No","No"
"Kansas","Kiowa County","0","0","0","0","0","0","No","Yes"
"Kansas","Labette County","1","0","0","1","30","146.74","Yes","Yes"
"Kansas","Lane County","0","0","0","0","0","0","No","Yes"
"Kansas","Leavenworth County","3","1","0","4","190","236.9","No","Yes"
"Kansas","Lincoln County","0","0","0","0","0","0","No","Yes"
"Kansas","Linn County","0","0","0","0","0","0","No","Yes"
"Kansas","Logan County","0","0","0","0","0","0","No","Yes"
"Kansas","Lyon County","1","0","0","1","30","89.53","No","Yes"
"Kansas","McPherson County","3","0","0","3","90","312.46","No","Yes"
"Kansas","Marion County","0","0","0","0","0","0","No","Yes"
"Kansas","Marshall County","0","0","0","0","0","0","No","Yes"
"Kansas","Meade County","1","0","0","1","30","711.57","No","No"
"Kansas","Miami County","0","0","0","0","0","0","No","Yes"
"Kansas","Mitchell County","0","0","0","0","0","0","No","Yes"
"Kansas","Montgomery County","0","0","0","0","0","0","No","Yes"
"Kansas","Morris County","0","0","0","0","0","0","No","Yes"
"Kansas","Morton County","1","0","0","1","30","1,053.37","No","No"
"Kansas","Nemaha County","0","0","0","0","0","0","No","Yes"
"Kansas","Neosho County","1","0","0","1","30","185.8","No","Yes"
"Kansas","Ness County","0","0","0","0","0","0","No","Yes"
"Kansas","Norton County","1","0","0","1","30","546.15","No","No"
"Kansas","Osage County","0","0","0","0","0","0","No","Yes"
"Kansas","Osborne County","0","0","0","0","0","0","No","Yes"
"Kansas","Ottawa County","0","0","0","0","0","0","No","Yes"
"Kansas","Pawnee County","0","0","0","0","0","0","No","Yes"
"Kansas","Phillips County","1","0","0","1","30","552.69","No","No"
"Kansas","Pottawatomie County","0","0","0","0","0","0","No","Yes"
"Kansas","Pratt County","0","0","0","0","0","0","No","Yes"
"Kansas","Rawlins County","0","0","0","0","0","0","No","Yes"
"Kansas","Reno County","4","0","0","4","120","189.81","No","Yes"
"Kansas","Republic County","0","0","0","0","0","0","No","Yes"
"Kansas","Rice County","0","0","0","0","0","0","No","Yes"
"Kansas","Riley County","6","2","0","8","380","518.11","No","No"
"Kansas","Rooks County","0","0","0","0","0","0","No","Yes"
"Kansas","Rush County","0","0","0","0","0","0","No","Yes"
"Kansas","Russell County","0","0","0","0","0","0","No","Yes"
"Kansas","Saline County","9","1","0","10","370","670.99","No","No"
"Kansas","Scott County","0","0","0","0","0","0","No","Yes"
"Kansas","Sedgwick County","13","4","4","21","1,890","369.14","No","Yes"
"Kansas","Seward County","0","0","0","0","0","0","No","Yes"
"Kansas","Shawnee County","13","2","0","15","590","331.19","No","Yes"
"Kansas","Sheridan County","0","0","0","0","0","0","No","Yes"
"Kansas","Sherman County","0","0","0","0","0","0","No","Yes"
"Kansas","Smith County","1","0","0","1","30","825.99","Yes","No"
"Kansas","Stafford County","0","0","0","0","0","0","No","Yes"
"Kansas","Stanton County","0","0","0","0","0","0","No","Yes"
"Kansas","Stevens County","0","0","0","0","0","0","No","Yes"
"Kansas","Sumner County","0","0","0","0","0","0","No","Yes"
"Kansas","Thomas County","0","0","0","0","0","0","No","Yes"
"Kansas","Trego County","0","0","0","0","0","0","No","Yes"
"Kansas","Wabaunsee County","0","0","0","0","0","0","No","Yes"
"Kansas","Wallace County","0","0","0","0","0","0","No","Yes"
"Kansas","Washington County","0","0","0","0","0","0","No","Yes"
"Kansas","Wichita County","0","0","0","0","0","0","No","Yes"
"Kansas","Wilson County","0","0","0","0","0","0","No","Yes"
"Kansas","Woodson County","0","0","0","0","0","0","No","Yes"
"Kansas","Wyandotte County","26","2","1","29","1,255","766.03","No","No"
"Kentucky","Adair County","3","3","1","7","665","3,449.17","No","No"
"Kentucky","Allen County","0","0","0","0","0","0","Yes","Yes"
"Kentucky","Anderson County","0","1","0","1","100","451.3","Yes","Yes"
"Kentucky","Ballard County","1","0","0","1","30","372.49","Yes","Yes"
"Kentucky","Barren County","2","1","1","4","435","988.79","No","No"
"Kentucky","Bath County","3","1","0","4","190","1,541.33","No","No"
"Kentucky","Bell County","5","0","1","6","425","1,567.28","Yes","No"
"Kentucky","Boone County","7","1","0","8","310","241.18","Yes","Yes"
"Kentucky","Bourbon County","1","3","3","7","1,155","5,766.35","Yes","No"
"Kentucky","Boyd County","9","7","11","27","3,995","8,300.09","Yes","No"
"Kentucky","Boyle County","3","15","6","24","3,240","10,793.52","Yes","No"
"Kentucky","Bracken County","0","0","0","0","0","0","Yes","Yes"
"Kentucky","Breathitt County","6","2","4","12","1,480","11,141.22","Yes","No"
"Kentucky","Breckinridge County","0","0","0","0","0","0","No","Yes"
"Kentucky","Bullitt County","0","1","1","2","375","473.78","No","Yes"
"Kentucky","Butler County","0","0","0","0","0","0","No","Yes"
"Kentucky","Caldwell County","0","0","0","0","0","0","Yes","Yes"
"Kentucky","Calloway County","0","0","1","1","275","715.46","Yes","No"
"Kentucky","Campbell County","6","3","0","9","480","520.55","Yes","No"
"Kentucky","Carlisle County","0","0","0","0","0","0","No","Yes"
"Kentucky","Carroll County","1","0","0","1","30","280.93","Yes","Yes"
"Kentucky","Carter County","1","1","0","2","130","480.66","No","No"
"Kentucky","Casey County","1","0","0","1","30","189.69","Yes","Yes"
"Kentucky","Christian County","4","2","0","6","320","442.29","No","Yes"
"Kentucky","Clark County","0","6","4","10","1,700","4,746.08","Yes","No"
"Kentucky","Clay County","6","1","3","10","1,105","5,321.2","Yes","No"
"Kentucky","Clinton County","0","0","0","0","0","0","Yes","Yes"
"Kentucky","Crittenden County","0","0","0","0","0","0","No","Yes"
"Kentucky","Cumberland County","1","0","0","1","30","445.24","Yes","Yes"
"Kentucky","Daviess County","8","3","2","13","1,090","1,093.57","No","No"
"Kentucky","Edmonson County","0","0","0","0","0","0","No","Yes"
"Kentucky","Elliott County","0","0","0","0","0","0","No","Yes"
"Kentucky","Estill County","1","0","0","1","30","209.69","Yes","Yes"
"Kentucky","Fayette County","104","52","29","185","16,295","5,116.99","Yes","No"
"Kentucky","Fleming County","0","0","0","0","0","0","Yes","Yes"
"Kentucky","Floyd County","11","4","9","24","3,205","8,636.49","Yes","No"
"Kentucky","Franklin County","3","5","5","13","1,965","3,886.47","Yes","No"
"Kentucky","Fulton County","0","0","0","0","0","0","No","Yes"
"Kentucky","Gallatin County","0","0","0","0","0","0","Yes","Yes"
"Kentucky","Garrard County","0","1","0","1","100","578.3","Yes","No"
"Kentucky","Grant County","1","0","0","1","30","120.37","Yes","Yes"
"Kentucky","Graves County","4","0","1","5","395","1,062.34","No","No"
"Kentucky","Grayson County","0","0","0","0","0","0","Yes","Yes"
"Kentucky","Green County","0","2","0","2","200","1,808.32","No","No"
"Kentucky","Greenup County","1","0","0","1","30","83.58","No","Yes"
"Kentucky","Hancock County","0","0","0","0","0","0","No","Yes"
"Kentucky","Hardin County","14","3","2","19","1,270","1,183.42","Yes","No"
"Kentucky","Harlan County","3","1","0","4","190","699.35","Yes","No"
"Kentucky","Harrison County","2","2","0","4","260","1,394.4","Yes","No"
"Kentucky","Hart County","1","0","0","1","30","161.06","No","Yes"
"Kentucky","Henderson County","0","0","0","0","0","0","No","Yes"
"Kentucky","Henry County","0","1","0","1","100","632.19","No","No"
"Kentucky","Hickman County","0","0","0","0","0","0","No","Yes"
"Kentucky","Hopkins County","2","0","1","3","335","729.78","Yes","No"
"Kentucky","Jackson County","0","0","0","0","0","0","No","Yes"
"Kentucky","Jefferson County","85","56","21","162","13,925","1,819.42","Yes","No"
"Kentucky","Jessamine County","4","1","4","9","1,320","2,521.15","Yes","No"
"Kentucky","Johnson County","4","2","3","9","1,145","4,983.03","No","No"
"Kentucky","Kenton County","23","5","6","34","2,840","1,721.79","Yes","No"
"Kentucky","Knott County","13","6","4","23","2,090","13,445.7","Yes","No"
"Kentucky","Knox County","8","0","0","8","240","757.41","Yes","No"
"Kentucky","Larue County","0","0","0","0","0","0","No","Yes"
"Kentucky","Laurel County","18","6","5","29","2,515","4,174.27","No","No"
"Kentucky","Lawrence County","2","0","1","3","335","2,111.83","Yes","No"
"Kentucky","Lee County","0","0","1","1","275","4,179.33","No","No"
"Kentucky","Leslie County","1","0","0","1","30","284.68","Yes","Yes"
"Kentucky","Letcher County","7","1","0","8","310","1,361.26","No","No"
"Kentucky","Lewis County","0","0","0","0","0","0","No","Yes"
"Kentucky","Lincoln County","1","1","0","2","130","533.4","Yes","No"
"Kentucky","Livingston County","2","0","0","2","60","647.32","No","No"
"Kentucky","Logan County","0","0","0","0","0","0","No","Yes"
"Kentucky","Lyon County","3","4","0","7","490","6,072.62","No","No"
"Kentucky","McCracken County","9","2","3","14","1,295","1,987.35","Yes","No"
"Kentucky","McCreary County","0","0","0","0","0","0","No","Yes"
"Kentucky","McLean County","0","0","0","0","0","0","Yes","Yes"
"Kentucky","Madison County","17","1","5","23","1,985","2,216.71","Yes","No"
"Kentucky","Magoffin County","3","1","0","4","190","1,497.95","No","No"
"Kentucky","Marion County","3","1","1","5","465","2,421.24","No","No"
"Kentucky","Marshall County","0","0","0","0","0","0","Yes","Yes"
"Kentucky","Martin County","2","1","0","3","160","1,333.11","Yes","No"
"Kentucky","Mason County","2","1","0","3","160","930.77","Yes","No"
"Kentucky","Meade County","1","0","0","1","30","106.66","No","Yes"
"Kentucky","Menifee County","3","1","1","5","465","7,256.55","No","No"
"Kentucky","Mercer County","1","2","1","4","505","2,351.35","Yes","No"
"Kentucky","Metcalfe County","0","0","0","0","0","0","No","Yes"
"Kentucky","Monroe County","2","0","0","2","60","566.68","Yes","No"
"Kentucky","Montgomery County","2","1","2","5","710","2,556.62","Yes","No"
"Kentucky","Morgan County","1","1","1","3","405","3,045.57","No","No"
"Kentucky","Muhlenberg County","3","1","3","7","1,015","3,271.24","No","No"
"Kentucky","Nelson County","1","0","0","1","30","65.85","Yes","Yes"
"Kentucky","Nicholas County","0","0","0","0","0","0","Yes","Yes"
"Kentucky","Ohio County","0","0","0","0","0","0","No","Yes"
"Kentucky","Oldham County","4","1","3","8","1,045","1,593.96","No","No"
"Kentucky","Owen County","0","0","0","0","0","0","Yes","Yes"
"Kentucky","Owsley County","1","0","1","2","305","6,791.36","Yes","No"
"Kentucky","Pendleton County","1","1","0","2","130","892.86","Yes","No"
"Kentucky","Perry County","0","0","0","0","0","0","Yes","Yes"
"Kentucky","Pike County","19","5","9","33","3,545","5,854.18","Yes","No"
"Kentucky","Powell County","3","0","0","3","90","731.23","Yes","No"
"Kentucky","Pulaski County","4","5","1","10","895","1,399.4","Yes","No"
"Kentucky","Robertson County","0","0","0","0","0","0","Yes","Yes"
"Kentucky","Rockcastle County","0","1","0","1","100","593.47","No","No"
"Kentucky","Rowan County","4","1","3","8","1,045","4,273.85","Yes","No"
"Kentucky","Russell County","1","1","0","2","130","733.55","Yes","No"
"Kentucky","Scott County","5","3","2","10","1,000","1,852.81","Yes","No"
"Kentucky","Shelby County","1","0","0","1","30","64.64","No","Yes"
"Kentucky","Simpson County","0","0","0","0","0","0","Yes","Yes"
"Kentucky","Spencer County","0","0","0","0","0","0","No","Yes"
"Kentucky","Taylor County","2","0","2","4","610","2,401.86","Yes","No"
"Kentucky","Todd County","0","0","0","0","0","0","No","Yes"
"Kentucky","Trigg County","0","0","0","0","0","0","No","Yes"
"Kentucky","Trimble County","1","0","0","1","30","348.03","No","Yes"
"Kentucky","Union County","0","0","0","0","0","0","Yes","Yes"
"Kentucky","Warren County","16","4","1","21","1,155","920.08","No","No"
"Kentucky","Washington County","0","0","0","0","0","0","No","Yes"
"Kentucky","Wayne County","0","0","0","0","0","0","No","Yes"
"Kentucky","Webster County","0","0","0","0","0","0","Yes","Yes"
"Kentucky","Whitley County","5","2","0","7","350","969.64","Yes","No"
"Kentucky","Wolfe County","1","1","3","5","955","13,339.85","No","No"
"Kentucky","Woodford County","2","1","2","5","710","2,717.81","No","No"
"Louisiana","Acadia Parish","1","0","1","2","305","486.87","No","No"
"Louisiana","Allen Parish","0","0","0","0","0","0","Yes","Yes"
"Louisiana","Ascension Parish","0","0","2","2","550","452.35","Yes","Yes"
"Louisiana","Assumption Parish","1","0","0","1","30","132.19","Yes","Yes"
"Louisiana","Avoyelles Parish","0","1","0","1","100","243.21","Yes","Yes"
"Louisiana","Beauregard Parish","2","0","0","2","60","162.48","No","Yes"
"Louisiana","Bienville Parish","0","0","0","0","0","0","No","Yes"
"Louisiana","Bossier Parish","7","6","4","17","1,910","1,515.19","Yes","No"
"Louisiana","Caddo Parish","29","6","6","41","3,120","1,253.76","Yes","No"
"Louisiana","Calcasieu Parish","11","7","6","24","2,680","1,335.99","Yes","No"
"Louisiana","Caldwell Parish","0","0","0","0","0","0","No","Yes"
"Louisiana","Cameron Parish","1","0","0","1","30","435.92","No","Yes"
"Louisiana","Catahoula Parish","0","0","0","0","0","0","Yes","Yes"
"Louisiana","Claiborne Parish","0","0","0","0","0","0","Yes","Yes"
"Louisiana","Concordia Parish","1","1","0","2","130","652.61","Yes","No"
"Louisiana","De Soto Parish","0","0","0","0","0","0","Yes","Yes"
"Louisiana","East Baton Rouge Parish","32","16","5","53","3,935","880.24","Yes","No"
"Louisiana","East Carroll Parish","0","0","0","0","0","0","Yes","Yes"
"Louisiana","East Feliciana Parish","2","0","1","3","335","1,701.98","No","No"
"Louisiana","Evangeline Parish","1","0","0","1","30","89","Yes","Yes"
"Louisiana","Franklin Parish","1","1","0","2","130","639.45","Yes","No"
"Louisiana","Grant Parish","0","0","0","0","0","0","Yes","Yes"
"Louisiana","Iberia Parish","5","1","1","7","525","716.5","Yes","No"
"Louisiana","Iberville Parish","1","0","0","1","30","91.13","No","Yes"
"Louisiana","Jackson Parish","0","0","0","0","0","0","No","Yes"
"Louisiana","Jefferson Parish","41","19","21","81","8,905","2,039.98","Yes","No"
"Louisiana","Jefferson Davis Parish","1","0","0","1","30","95.5","Yes","Yes"
"Louisiana","Lafayette Parish","26","12","9","47","4,455","1,845.5","Yes","No"
"Louisiana","Lafourche Parish","6","4","0","10","580","590","Yes","No"
"Louisiana","LaSalle Parish","0","0","0","0","0","0","Yes","Yes"
"Louisiana","Lincoln Parish","3","3","0","6","390","816.84","Yes","No"
"Louisiana","Livingston Parish","3","1","1","5","465","331.82","Yes","Yes"
"Louisiana","Madison Parish","1","1","0","2","130","1,127.69","No","No"
"Louisiana","Morehouse Parish","0","0","0","0","0","0","Yes","Yes"
"Louisiana","Natchitoches Parish","0","1","1","2","375","957.56","No","No"
"Louisiana","Orleans Parish","58","20","6","84","5,390","1,376.77","Yes","No"
"Louisiana","Ouachita Parish","11","5","1","17","1,105","703.9","Yes","No"
"Louisiana","Plaquemines Parish","4","3","0","7","420","1,789.98","Yes","No"
"Louisiana","Pointe Coupee Parish","0","0","0","0","0","0","Yes","Yes"
"Louisiana","Rapides Parish","10","3","0","13","600","453.09","Yes","Yes"
"Louisiana","Red River Parish","0","0","0","0","0","0","Yes","Yes"
"Louisiana","Richland Parish","1","0","1","2","305","1,492.9","Yes","No"
"Louisiana","Sabine Parish","0","0","0","0","0","0","No","Yes"
"Louisiana","St. Bernard Parish","1","1","1","3","405","886.45","Yes","No"
"Louisiana","St. Charles Parish","0","1","0","1","100","188.95","Yes","Yes"
"Louisiana","St. Helena Parish","1","0","0","1","30","285.39","Yes","Yes"
"Louisiana","St. James Parish","0","0","0","0","0","0","Yes","Yes"
"Louisiana","St. John the Baptist Parish","2","0","0","2","60","137.52","Yes","Yes"
"Louisiana","St. Landry Parish","3","2","1","6","565","673.56","Yes","No"
"Louisiana","St. Martin Parish","2","1","0","3","160","296.26","No","Yes"
"Louisiana","St. Mary Parish","1","0","0","1","30","57.59","Yes","Yes"
"Louisiana","St. Tammany Parish","23","11","13","47","5,365","2,115.52","Yes","No"
"Louisiana","Tangipahoa Parish","2","3","2","7","910","696.2","Yes","No"
"Louisiana","Tensas Parish","0","0","0","0","0","0","No","Yes"
"Louisiana","Terrebonne Parish","4","3","0","7","420","370.96","Yes","Yes"
"Louisiana","Union Parish","0","0","0","0","0","0","Yes","Yes"
"Louisiana","Vermilion Parish","0","0","0","0","0","0","Yes","Yes"
"Louisiana","Vernon Parish","5","0","0","5","150","296.62","No","Yes"
"Louisiana","Washington Parish","0","0","0","0","0","0","Yes","Yes"
"Louisiana","Webster Parish","0","0","0","0","0","0","Yes","Yes"
"Louisiana","West Baton Rouge Parish","0","0","0","0","0","0","Yes","Yes"
"Louisiana","West Carroll Parish","0","1","1","2","375","3,374.12","No","No"
"Louisiana","West Feliciana Parish","0","0","0","0","0","0","No","Yes"
"Louisiana","Winn Parish","0","0","0","0","0","0","Yes","Yes"
"Maine","Androscoggin County","26","9","2","37","2,230","2,077.92","No","No"
"Maine","Aroostook County","14","1","2","17","1,070","1,574.48","No","No"
"Maine","Cumberland County","161","34","21","216","14,005","4,795.56","No","No"
"Maine","Franklin County","8","6","0","14","840","2,799.91","No","No"
"Maine","Hancock County","23","6","2","31","1,840","3,381.17","No","No"
"Maine","Kennebec County","66","24","6","96","6,030","5,001.29","Yes","No"
"Maine","Knox County","17","6","0","23","1,110","2,792.87","No","No"
"Maine","Lincoln County","5","4","1","10","825","2,411.15","No","No"
"Maine","Oxford County","6","7","1","14","1,155","2,018.63","No","No"
"Maine","Penobscot County","71","28","3","102","5,755","3,791.02","No","No"
"Maine","Piscataquis County","6","1","0","7","280","1,662.41","No","No"
"Maine","Sagadahoc County","5","2","0","7","350","992.26","No","No"
"Maine","Somerset County","16","5","0","21","980","1,924.78","No","No"
"Maine","Waldo County","9","8","0","17","1,070","2,718.22","No","No"
"Maine","Washington County","15","4","1","20","1,125","3,577.11","No","No"
"Maine","York County","29","10","4","43","2,970","1,467.8","No","No"
"Maryland","Allegany County","16","8","2","26","1,830","2,537.09","Yes","No"
"Maryland","Anne Arundel County","80","16","7","103","5,925","1,042.5","No","No"
"Maryland","Baltimore County","176","53","10","239","13,330","1,604.04","No","No"
"Maryland","Calvert County","8","4","2","14","1,190","1,304.1","Yes","No"
"Maryland","Caroline County","1","1","0","2","130","395.74","No","Yes"
"Maryland","Carroll County","15","8","2","25","1,800","1,073.63","No","No"
"Maryland","Cecil County","13","4","9","26","3,265","3,182.17","No","No"
"Maryland","Charles County","12","3","1","16","935","592.88","No","No"
"Maryland","Dorchester County","3","1","0","4","190","589","No","No"
"Maryland","Frederick County","22","5","5","32","2,535","1,023.87","No","No"
"Maryland","Garrett County","5","0","2","7","700","2,378.93","No","No"
"Maryland","Harford County","31","13","4","48","3,330","1,326.52","No","No"
"Maryland","Howard County","67","24","9","100","6,885","2,170.33","No","No"
"Maryland","Kent County","2","1","0","3","160","810.95","Yes","No"
"Maryland","Montgomery County","119","29","8","156","8,670","830.57","No","No"
"Maryland","Prince George's County","99","20","6","125","6,620","729.04","No","No"
"Maryland","Queen Anne's County","5","0","3","8","975","1,992.68","No","No"
"Maryland","St. Mary's County","0","1","0","1","100","88.82","No","Yes"
"Maryland","Somerset County","3","0","1","4","365","1,407.74","No","No"
"Maryland","Talbot County","2","0","1","3","335","898.65","Yes","No"
"Maryland","Washington County","12","10","3","25","2,185","1,453.84","Yes","No"
"Maryland","Wicomico County","10","4","0","14","700","682.41","No","No"
"Maryland","Worcester County","6","2","1","9","655","1,273.23","No","No"
"Maryland","Baltimore city","375","87","29","491","27,925","4,543.13","Yes","No"
"Massachusetts","Barnstable County","61","22","13","96","7,605","3,549.16","No","No"
