"County","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","FIPS","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013"
"Crane County","6,209","0",0,"0",0,"0",0,"0",0,"0",0,"2",32.2,"48103",NA,NA,NA,NA,NA,6,"TX",6,6
"Crockett County","4,040","0",0,"0",0,"1",24.8,"0",0,"0",0,"1",24.8,"48105",NA,NA,NA,NA,NA,7,"TX",6,11
"Crosby County","6,464","0",0,"0",0,"3",46.4,"3",46.4,"1",15.5,"1",15.5,"48107","Metropolitan Statistical Area","Outlying","31180","Lubbock, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2
"Culberson County","2,245","1",44.5,"1",44.5,"0",0,"0",0,"0",0,"2",89.1,"48109",NA,NA,NA,NA,NA,9,"TX",6,12
"Dallam County","7,237","0",0,"0",0,"0",0,"1",13.8,"0",0,"0",0,"48111",NA,NA,NA,NA,NA,7,"TX",6,11
"Dallas County","2,734,111","505",18.5,"972",35.6,"2,535",92.7,"307",11.2,"1,224",44.8,"2,424",88.7,"48113","Metropolitan Statistical Area","Central","19100","Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Central",1,"TX",1,1
"Dawson County","13,592","0",0,"2",14.7,"4",29.4,"3",22.1,"2",14.7,"6",44.1,"48115","Micropolitan Statistical Area","Central","29500","Lamesa, TX","Micropolitan Statistical Area-Central",7,"TX",5,8
"De Witt County","21,737","0",0,"3",13.8,"11",50.6,"1",4.6,"6",27.6,"13",59.8,"48123",NA,NA,NA,NA,NA,6,"TX",6,6
"Deaf Smith County","18,143","0",0,"1",5.5,"6",33.1,"8",44.1,"5",27.6,"6",33.1,"48117","Micropolitan Statistical Area","Central","25820","Hereford, TX","Micropolitan Statistical Area-Central",6,"TX",5,5
"Delta County","5,367","0",0,"0",0,"3",55.9,"0",0,"1",18.6,"0",0,"48119",NA,NA,NA,NA,NA,8,"TX",6,4
"Denton County","897,953","146",16.3,"211",23.5,"941",104.8,"89",9.9,"322",35.9,"496",55.2,"48121","Metropolitan Statistical Area","Outlying","19100","Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1
"Dickens County","2,174","1",46,"0",0,"0",0,"1",46,"0",0,"0",0,"48125",NA,NA,NA,NA,NA,8,"TX",6,7
"Dimmit County","11,743","0",0,"0",0,"2",17,"1",8.5,"0",0,"7",59.6,"48127",NA,NA,NA,NA,NA,6,"TX",6,6
"Donley County","3,410","0",0,"0",0,"0",0,"2",58.7,"0",0,"1",29.3,"48129",NA,NA,NA,NA,NA,8,"TX",6,7
"Duval County","11,796","8",67.8,"0",0,"3",25.4,"1",8.5,"1",8.5,"0",0,"48131","Micropolitan Statistical Area","Outlying","10860","Alice, TX","Micropolitan Statistical Area-Outlying",7,"TX",6,9
"Eastland County","18,205","8",43.9,"0",0,"12",65.9,"7",38.5,"4",22,"9",49.4,"48133",NA,NA,NA,NA,NA,6,"TX",6,6
"Ector County","184,841","29",15.7,"9",4.9,"64",34.6,"23",12.4,"8",4.3,"103",55.7,"48135","Metropolitan Statistical Area","Central","36220","Odessa, TX","Metropolitan Statistical Area-Central",3,"TX",4,2
"Edwards County","1,991","1",50.2,"0",0,"1",50.2,"0",0,"0",0,"1",50.2,"48137",NA,NA,NA,NA,NA,9,"TX",6,12
"El Paso County","876,120","158",18,"190",21.7,"502",57.3,"141",16.1,"368",42,"512",58.4,"48141","Metropolitan Statistical Area","Central","21340","El Paso, TX","Metropolitan Statistical Area-Central",2,"TX",3,2
