"County","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","FIPS","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013"
"Kleberg County","30,987","14",45.2,"1",3.2,"24",77.5,"8",25.8,"7",22.6,"18",58.1,"48273","Micropolitan Statistical Area","Central","28780","Kingsville, TX","Micropolitan Statistical Area-Central",4,"TX",5,5
"Knox County","3,937","0",0,"0",0,"1",25.4,"1",25.4,"0",0,"1",25.4,"48275",NA,NA,NA,NA,NA,9,"TX",6,12
"La Salle County","8,309","1",12,"0",0,"2",24.1,"0",0,"0",0,"1",12,"48283",NA,NA,NA,NA,NA,6,"TX",6,6
"Lamar County","50,014","5",10,"12",24,"31",62,"19",38,"18",36,"37",74,"48277","Micropolitan Statistical Area","Central","37580","Paris, TX","Micropolitan Statistical Area-Central",5,"TX",5,8
"Lamb County","12,776","1",7.8,"0",0,"5",39.1,"3",23.5,"2",15.7,"5",39.1,"48279",NA,NA,NA,NA,NA,6,"TX",6,6
"Lampasas County","21,037","8",38,"5",23.8,"15",71.3,"1",4.8,"7",33.3,"8",38,"48281","Metropolitan Statistical Area","Outlying","28660","Killeen-Temple, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2
"Lavaca County","20,735","1",4.8,"1",4.8,"6",28.9,"4",19.3,"1",4.8,"13",62.7,"48285",NA,NA,NA,NA,NA,6,"TX",6,6
"Lee County","17,595","4",22.7,"0",0,"11",62.5,"2",11.4,"3",17.1,"4",22.7,"48287",NA,NA,NA,NA,NA,6,"TX",6,4
"Leon County","17,707","2",11.3,"0",0,"2",11.3,"3",16.9,"1",5.6,"4",22.6,"48289",NA,NA,NA,NA,NA,8,"TX",6,7
"Liberty County","85,284","11",12.9,"4",4.7,"20",23.5,"3",3.5,"4",4.7,"31",36.3,"48291","Metropolitan Statistical Area","Outlying","26420","Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1
"Limestone County","23,544","3",12.7,"0",0,"10",42.5,"8",34,"3",12.7,"18",76.5,"48293",NA,NA,NA,NA,NA,6,"TX",6,6
"Lipscomb County","3,651","0",0,"0",0,"2",54.8,"0",0,"0",0,"0",0,"48295",NA,NA,NA,NA,NA,9,"TX",6,12
"Live Oak County","12,030","1",8.3,"0",0,"6",49.9,"1",8.3,"0",0,"1",8.3,"48297",NA,NA,NA,NA,NA,8,"TX",6,7
"Llano County","19,452","3",15.4,"1",5.1,"4",20.6,"2",10.3,"2",10.3,"12",61.7,"48299",NA,NA,NA,NA,NA,7,"TX",6,11
"Loving County","92","0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"48301","Micropolitan Statistical Area","Outlying","37780","Pecos, TX","Micropolitan Statistical Area-Outlying",9,"TX",6,12
"Lubbock County","317,210","108",34,"66",20.8,"379",119.5,"160",50.4,"123",38.8,"274",86.4,"48303","Metropolitan Statistical Area","Central","31180","Lubbock, TX","Metropolitan Statistical Area-Central",2,"TX",3,2
"Lynn County","5,588","1",17.9,"0",0,"5",89.5,"0",0,"0",0,"6",107.4,"48305","Metropolitan Statistical Area","Outlying","31180","Lubbock, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2
"Madison County","14,527","1",6.9,"0",0,"2",13.8,"3",20.7,"1",6.9,"8",55.1,"48313",NA,NA,NA,NA,NA,6,"TX",6,6
"Marion County","10,294","1",9.7,"0",0,"4",38.9,"3",29.1,"0",0,"1",9.7,"48315",NA,NA,NA,NA,NA,8,"TX",6,7
"Martin County","6,044","0",0,"0",0,"0",0,"0",0,"1",16.5,"3",49.6,"48317","Metropolitan Statistical Area","Outlying","33260","Midland, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2
"Mason County","3,899","1",25.6,"0",0,"2",51.3,"0",0,"1",25.6,"2",51.3,"48319",NA,NA,NA,NA,NA,9,"TX",6,10
"Matagorda County","37,064","4",10.8,"2",5.4,"11",29.7,"4",10.8,"3",8.1,"19",51.3,"48321","Micropolitan Statistical Area","Central","13060","Bay City, TX","Micropolitan Statistical Area-Central",4,"TX",5,3
"Maverick County","59,938","3",5,"2",3.3,"12",20,"9",15,"7",11.7,"28",46.7,"48323","Micropolitan Statistical Area","Central","20580","Eagle Pass, TX","Micropolitan Statistical Area-Central",5,"TX",5,8
"McCulloch County","8,660","2",23.1,"0",0,"7",80.8,"1",11.5,"2",23.1,"5",57.7,"48307",NA,NA,NA,NA,NA,7,"TX",6,9
"McLennan County","253,066","63",24.9,"173",68.4,"220",86.9,"80",31.6,"196",77.5,"222",87.7,"48309","Metropolitan Statistical Area","Central","47380","Waco, TX","Metropolitan Statistical Area-Central",2,"TX",3,2
"McMullen County","783","0",0,"0",0,"1",127.7,"0",0,"0",0,"0",0,"48311",NA,NA,NA,NA,NA,9,"TX",6,12
"Medina County","50,594","14",27.7,"7",13.8,"24",47.4,"4",7.9,"10",19.8,"20",39.5,"48325","Metropolitan Statistical Area","Outlying","41700","San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1
"Menard County","2,188","0",0,"0",0,"1",45.7,"0",0,"0",0,"1",45.7,"48327",NA,NA,NA,NA,NA,9,"TX",6,12
"Midland County","187,364","49",26.2,"19",10.1,"129",68.8,"36",19.2,"22",11.7,"106",56.6,"48329","Metropolitan Statistical Area","Central","33260","Midland, TX","Metropolitan Statistical Area-Central",3,"TX",4,2
"Milam County","24,635","2",8.1,"1",4.1,"8",32.5,"2",8.1,"1",4.1,"6",24.4,"48331",NA,NA,NA,NA,NA,6,"TX",6,4
"Mills County","4,870","1",20.5,"2",41.1,"7",143.7,"3",61.6,"0",0,"2",41.1,"48333",NA,NA,NA,NA,NA,9,"TX",6,10
"Mitchell County","9,865","1",10.1,"0",0,"1",10.1,"1",10.1,"0",0,"4",40.5,"48335",NA,NA,NA,NA,NA,7,"TX",6,9
"Montague County","19,199","1",5.2,"1",5.2,"6",31.3,"5",26,"2",10.4,"8",41.7,"48337",NA,NA,NA,NA,NA,6,"TX",6,4
"Montgomery County","613,951","84",13.7,"93",15.1,"429",69.9,"34",5.5,"110",17.9,"581",94.6,"48339","Metropolitan Statistical Area","Outlying","26420","Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1
"Moore County","21,575","1",4.6,"0",0,"3",13.9,"3",13.9,"3",13.9,"15",69.5,"48341","Micropolitan Statistical Area","Central","20300","Dumas, TX","Micropolitan Statistical Area-Central",7,"TX",5,8
"Morris County","12,448","0",0,"1",8,"5",40.2,"3",24.1,"2",16.1,"4",32.1,"48343",NA,NA,NA,NA,NA,6,"TX",6,6
"Motley County","1,172","0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"48345",NA,NA,NA,NA,NA,9,"TX",6,12
"Nacogdoches County","64,106","10",15.6,"23",35.9,"76",118.6,"29",45.2,"37",57.7,"58",90.5,"48347","Micropolitan Statistical Area","Central","34860","Nacogdoches, TX","Micropolitan Statistical Area-Central",5,"TX",5,8
"Navarro County","47,985","5",10.4,"7",14.6,"30",62.5,"11",22.9,"6",12.5,"25",52.1,"48349","Micropolitan Statistical Area","Central","18620","Corsicana, TX","Micropolitan Statistical Area-Central",4,"TX",5,3
"Newton County","13,724","1",7.3,"1",7.3,"1",7.3,"1",7.3,"4",29.1,"3",21.9,"48351",NA,NA,NA,NA,NA,2,"TX",3,2
"Nolan County","15,642","5",32,"1",6.4,"8",51.1,"3",19.2,"0",0,"8",51.1,"48353","Micropolitan Statistical Area","Central","45020","Sweetwater, TX","Micropolitan Statistical Area-Central",6,"TX",5,5
"Nueces County","383,718","129",33.6,"62",16.2,"363",94.6,"86",22.4,"101",26.3,"363",94.6,"48355","Metropolitan Statistical Area","Central","18580","Corpus Christi, TX","Metropolitan Statistical Area-Central",2,"TX",3,2
"Ochiltree County","11,309","0",0,"0",0,"3",26.5,"1",8.8,"0",0,"6",53.1,"48357",NA,NA,NA,NA,NA,7,"TX",6,11
"Oldham County","2,200","0",0,"2",90.9,"6",272.7,"1",45.5,"1",45.5,"0",0,"48359","Metropolitan Statistical Area","Outlying","11100","Amarillo, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2
"Orange County","86,155","12",13.9,"3",3.5,"22",25.5,"11",12.8,"6",7,"22",25.5,"48361","Metropolitan Statistical Area","Central","13140","Beaumont-Port Arthur, TX","Metropolitan Statistical Area-Central",2,"TX",3,2
"Palo Pinto County","27,859","4",14.4,"4",14.4,"4",14.4,"3",10.8,"9",32.3,"16",57.4,"48363","Micropolitan Statistical Area","Central","33420","Mineral Wells, TX","Micropolitan Statistical Area-Central",6,"TX",5,3
"Panola County","24,576","1",4.1,"3",12.2,"5",20.3,"3",12.2,"4",16.3,"6",24.4,"48365",NA,NA,NA,NA,NA,6,"TX",6,6
"Parker County","135,621","25",18.4,"14",10.3,"91",67.1,"18",13.3,"47",34.7,"68",50.1,"48367","Metropolitan Statistical Area","Outlying","19100","Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1
"Parmer County","9,200","0",0,"0",0,"0",0,"1",10.9,"0",0,"2",21.7,"48369",NA,NA,NA,NA,NA,7,"TX",6,9
"Pecos County","16,533","3",18.1,"0",0,"1",6,"2",12.1,"1",6,"8",48.4,"48371",NA,NA,NA,NA,NA,7,"TX",6,11
"Polk County","49,080","5",10.2,"6",12.2,"22",44.8,"7",14.3,"7",14.3,"30",61.1,"48373",NA,NA,NA,NA,NA,6,"TX",6,4
"Potter County","122,706","32",26.1,"43",35,"139",113.3,"63",51.3,"53",43.2,"141",114.9,"48375","Metropolitan Statistical Area","Central","11100","Amarillo, TX","Metropolitan Statistical Area-Central",2,"TX",3,2
"Presidio County","5,906","0",0,"1",16.9,"3",50.8,"0",0,"0",0,"3",50.8,"48377",NA,NA,NA,NA,NA,7,"TX",6,11
"Rains County","11,378","0",0,"0",0,"2",17.6,"2",17.6,"1",8.8,"1",8.8,"48379",NA,NA,NA,NA,NA,8,"TX",6,4
"Randall County","138,104","21",15.2,"21",15.2,"137",99.2,"51",36.9,"78",56.5,"44",31.9,"48381","Metropolitan Statistical Area","Central","11100","Amarillo, TX","Metropolitan Statistical Area-Central",2,"TX",3,2
"Reagan County","4,226","0",0,"0",0,"0",0,"0",0,"0",0,"2",47.3,"48383",NA,NA,NA,NA,NA,6,"TX",6,6
"Real County","3,407","0",0,"1",29.4,"0",0,"1",29.4,"1",29.4,"0",0,"48385",NA,NA,NA,NA,NA,9,"TX",6,10
"Red River County","12,610","0",0,"2",15.9,"5",39.7,"6",47.6,"2",15.9,"2",15.9,"48387",NA,NA,NA,NA,NA,6,"TX",6,6
"Reeves County","15,707","1",6.4,"1",6.4,"1",6.4,"1",6.4,"1",6.4,"8",50.9,"48389","Micropolitan Statistical Area","Central","37780","Pecos, TX","Micropolitan Statistical Area-Central",7,"TX",5,8
"Refugio County","7,573","1",13.2,"0",0,"3",39.6,"0",0,"0",0,"3",39.6,"48391",NA,NA,NA,NA,NA,6,"TX",6,6
"Roberts County","983","0",0,"0",0,"0",0,"1",101.7,"0",0,"0",0,"48393","Micropolitan Statistical Area","Outlying","37420","Pampa, TX","Micropolitan Statistical Area-Outlying",9,"TX",6,10
"Robertson County","16,888","1",5.9,"1",5.9,"5",29.6,"4",23.7,"4",23.7,"0",0,"48395","Metropolitan Statistical Area","Outlying","17780","College Station-Bryan, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2
"Rockwall County","102,243","11",10.8,"28",27.4,"102",99.8,"12",11.7,"26",25.4,"94",91.9,"48397","Metropolitan Statistical Area","Central","19100","Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Central",1,"TX",2,1
"Runnels County","11,009","1",9.1,"2",18.2,"2",18.2,"2",18.2,"4",36.3,"9",81.8,"48399",NA,NA,NA,NA,NA,6,"TX",6,6
"Rusk County","52,767","26",49.3,"0",0,"21",39.8,"8",15.2,"10",19,"22",41.7,"48401","Metropolitan Statistical Area","Outlying","30980","Longview, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2
"Sabine County","9,936","1",10.1,"0",0,"2",20.1,"1",10.1,"1",10.1,"3",30.2,"48403",NA,NA,NA,NA,NA,8,"TX",6,7
"San Augustine County","8,405","0",0,"0",0,"1",11.9,"1",11.9,"2",23.8,"2",23.8,"48405",NA,NA,NA,NA,NA,9,"TX",6,10
"San Jacinto County","28,844","1",3.5,"2",6.9,"2",6.9,"1",3.5,"2",6.9,"4",13.9,"48407",NA,NA,NA,NA,NA,8,"TX",6,4
"San Patricio County","71,325","16",22.4,"5",7,"22",30.8,"7",9.8,"8",11.2,"22",30.8,"48409","Metropolitan Statistical Area","Central","18580","Corpus Christi, TX","Metropolitan Statistical Area-Central",2,"TX",3,2
"San Saba County","5,873","2",34.1,"0",0,"3",51.1,"1",17,"1",17,"1",17,"48411",NA,NA,NA,NA,NA,7,"TX",6,9
"Schleicher County","3,312","0",0,"0",0,"1",30.2,"0",0,"0",0,"1",30.2,"48413",NA,NA,NA,NA,NA,8,"TX",6,7
"Scurry County","18,368","2",10.9,"1",5.4,"3",16.3,"2",10.9,"0",0,"13",70.8,"48415","Micropolitan Statistical Area","Central","43660","Snyder, TX","Micropolitan Statistical Area-Central",7,"TX",5,8
"Shackelford County","3,405","1",29.4,"0",0,"2",58.7,"0",0,"0",0,"1",29.4,"48417",NA,NA,NA,NA,NA,8,"TX",6,7
"Shelby County","25,545","0",0,"3",11.7,"18",70.5,"6",23.5,"7",27.4,"4",15.7,"48419",NA,NA,NA,NA,NA,7,"TX",6,9
"Sherman County","3,276","0",0,"0",0,"0",0,"1",30.5,"0",0,"0",0,"48421",NA,NA,NA,NA,NA,9,"TX",6,10
"Smith County","235,143","72",30.6,"44",18.7,"212",90.2,"86",36.6,"72",30.6,"284",120.8,"48423","Metropolitan Statistical Area","Central","46340","Tyler, TX","Metropolitan Statistical Area-Central",3,"TX",4,2
"Somervell County","9,294","0",0,"0",0,"5",53.8,"4",43,"3",32.3,"9",96.8,"48425",NA,NA,NA,NA,NA,1,"TX",2,1
"Starr County","64,731","5",7.7,"0",0,"19",29.4,"10",15.4,"8",12.4,"17",26.3,"48427","Micropolitan Statistical Area","Central","40100","Rio Grande City-Roma, TX","Micropolitan Statistical Area-Central",4,"TX",5,5
"Stephens County","9,570","17",177.6,"0",0,"5",52.2,"2",20.9,"0",0,"7",73.1,"48429",NA,NA,NA,NA,NA,7,"TX",6,11
"Sterling County","1,252","0",0,"0",0,"0",0,"0",0,"1",79.9,"0",0,"48431","Metropolitan Statistical Area","Outlying","41660","San Angelo, TX","Metropolitan Statistical Area-Outlying",8,"TX",6,7
"Stonewall County","1,523","0",0,"0",0,"0",0,"1",65.7,"0",0,"1",65.7,"48433",NA,NA,NA,NA,NA,9,"TX",6,12
"Sutton County","4,381","1",22.8,"0",0,"0",0,"0",0,"0",0,"2",45.7,"48435",NA,NA,NA,NA,NA,7,"TX",6,11
"Swisher County","7,414","0",0,"1",13.5,"1",13.5,"1",13.5,"0",0,"4",54,"48437",NA,NA,NA,NA,NA,6,"TX",6,6
"Tarrant County","2,143,755","375",17.5,"754",35.2,"1,826",85.2,"415",19.4,"1,365",63.7,"1,793",83.6,"48439","Metropolitan Statistical Area","Central","19100","Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Central",1,"TX",1,1
"Taylor County","139,457","55",39.4,"35",25.1,"200",143.4,"68",48.8,"92",66,"122",87.5,"48441","Metropolitan Statistical Area","Central","10180","Abilene, TX","Metropolitan Statistical Area-Central",3,"TX",4,2
"Terrell County","1,054","0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"48443",NA,NA,NA,NA,NA,9,"TX",6,12
"Terry County","13,040","1",7.7,"0",0,"0",0,"1",7.7,"0",0,"4",30.7,"48445",NA,NA,NA,NA,NA,6,"TX",6,6
"Throckmorton County","1,519","0",0,"0",0,"1",65.8,"0",0,"0",0,"1",65.8,"48447",NA,NA,NA,NA,NA,9,"TX",6,12
"Titus County","32,953","1",3,"4",12.1,"25",75.9,"10",30.3,"14",42.5,"30",91,"48449","Micropolitan Statistical Area","Central","34420","Mount Pleasant, TX","Micropolitan Statistical Area-Central",7,"TX",5,8
"Tom Green County","123,276","41",33.3,"33",26.8,"125",101.4,"42",34.1,"40",32.4,"126",102.2,"48451","Metropolitan Statistical Area","Central","41660","San Angelo, TX","Metropolitan Statistical Area-Central",3,"TX",4,2
"Travis County","1,291,502","386",29.9,"1,451",112.3,"1,698",131.5,"176",13.6,"1,239",95.9,"1,321",102.3,"48453","Metropolitan Statistical Area","Central","12420","Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Central",1,"TX",1,1
"Trinity County","14,233","2",14.1,"0",0,"3",21.1,"0",0,"0",0,"3",21.1,"48455",NA,NA,NA,NA,NA,7,"TX",5,8
"Tyler County","21,343","1",4.7,"0",0,"6",28.1,"4",18.7,"4",18.7,"3",14.1,"48457",NA,NA,NA,NA,NA,6,"TX",6,6
"Upshur County","41,655","8",19.2,"4",9.6,"16",38.4,"8",19.2,"2",4.8,"7",16.8,"48459","Metropolitan Statistical Area","Outlying","30980","Longview, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2
"Upton County","3,983","0",0,"0",0,"0",0,"0",0,"0",0,"2",50.2,"48461",NA,NA,NA,NA,NA,8,"TX",6,7
"Uvalde County","27,937","5",17.9,"1",3.6,"15",53.7,"3",10.7,"6",21.5,"15",53.7,"48463","Micropolitan Statistical Area","Central","46620","Uvalde, TX","Micropolitan Statistical Area-Central",6,"TX",5,3
"Val Verde County","48,253","2",4.1,"8",16.6,"8",16.6,"2",4.1,"5",10.4,"23",47.7,"48465","Micropolitan Statistical Area","Central","19620","Del Rio, TX","Micropolitan Statistical Area-Central",5,"TX",5,8
"Van Zandt County","55,469","18",32.5,"5",9,"22",39.7,"9",16.2,"8",14.4,"11",19.8,"48467",NA,NA,NA,NA,NA,6,"TX",6,4
"Victoria County","97,744","17",17.4,"14",14.3,"82",83.9,"14",14.3,"32",32.7,"87",89,"48469","Metropolitan Statistical Area","Central","47020","Victoria, TX","Metropolitan Statistical Area-Central",3,"TX",4,2
"Walker County","73,997","22",29.7,"8",10.8,"79",106.8,"12",16.2,"10",13.5,"38",51.4,"48471","Micropolitan Statistical Area","Central","26660","Huntsville, TX","Micropolitan Statistical Area-Central",4,"TX",5,3
"Waller County","50,731","6",11.8,"7",13.8,"19",37.5,"4",7.9,"6",11.8,"5",9.9,"48473","Metropolitan Statistical Area","Outlying","26420","Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1
"Ward County","13,592","1",7.4,"0",0,"1",7.4,"1",7.4,"0",0,"1",7.4,"48475",NA,NA,NA,NA,NA,6,"TX",6,6
"Washington County","35,155","4",11.4,"4",11.4,"16",45.5,"6",17.1,"11",31.3,"28",79.6,"48477","Micropolitan Statistical Area","Central","14780","Brenham, TX","Micropolitan Statistical Area-Central",6,"TX",5,3
"Webb County","276,183","94",34,"8",2.9,"125",45.3,"35",12.7,"40",14.5,"116",42,"48479","Metropolitan Statistical Area","Central","29700","Laredo, TX","Metropolitan Statistical Area-Central",2,"TX",3,2
"Wharton County","41,941","1",2.4,"7",16.7,"25",59.6,"6",14.3,"4",9.5,"23",54.8,"48481","Micropolitan Statistical Area","Central","20900","El Campo, TX","Micropolitan Statistical Area-Central",4,"TX",5,3
"Wheeler County","5,783","0",0,"0",0,"2",34.6,"1",17.3,"0",0,"3",51.9,"48483",NA,NA,NA,NA,NA,9,"TX",6,10
"Wichita County","133,138","27",20.3,"42",31.5,"149",111.9,"117",87.9,"45",33.8,"125",93.9,"48485","Metropolitan Statistical Area","Central","48660","Wichita Falls, TX","Metropolitan Statistical Area-Central",3,"TX",4,2
"Wilbarger County","13,038","4",30.7,"12",92,"14",107.4,"17",130.4,"6",46,"5",38.3,"48487","Micropolitan Statistical Area","Central","46900","Vernon, TX","Micropolitan Statistical Area-Central",6,"TX",5,5
"Willacy County","22,134","1",4.5,"3",13.6,"11",49.7,"5",22.6,"9",40.7,"7",31.6,"48489","Micropolitan Statistical Area","Central","39700","Raymondville, TX","Micropolitan Statistical Area-Central",6,"TX",5,5
"Williamson County","589,914","107",18.1,"237",40.2,"504",85.4,"56",9.5,"211",35.8,"509",86.3,"48491","Metropolitan Statistical Area","Central","12420","Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Central",1,"TX",2,1
"Wilson County","51,802","5",9.7,"8",15.4,"27",52.1,"6",11.6,"15",29,"16",30.9,"48493","Metropolitan Statistical Area","Outlying","41700","San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1
"Winkler County","9,295","1",10.8,"0",0,"0",0,"0",0,"1",10.8,"1",10.8,"48495",NA,NA,NA,NA,NA,6,"TX",6,6
"Wise County","65,807","7",10.6,"10",15.2,"34",51.7,"8",12.2,"18",27.4,"41",62.3,"48497","Metropolitan Statistical Area","Outlying","19100","Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1
"Wood County","45,292","18",39.7,"3",6.6,"25",55.2,"11",24.3,"5",11,"21",46.4,"48499",NA,NA,NA,NA,NA,6,"TX",6,6
"Yoakum County","9,225","0",0,"0",0,"1",10.8,"0",0,"0",0,"4",43.4,"48501",NA,NA,NA,NA,NA,7,"TX",6,9
"Young County","18,712","3",16,"3",16,"10",53.4,"9",48.1,"4",21.4,"16",85.5,"48503",NA,NA,NA,NA,NA,7,"TX",6,11
"Zapata County","14,409","3",20.8,"0",0,"1",6.9,"0",0,"0",0,"0",0,"48505","Micropolitan Statistical Area","Central","49820","Zapata, TX","Micropolitan Statistical Area-Central",6,"TX",5,5
"Zavala County","12,682","2",15.8,"0",0,"2",15.8,"3",23.7,"0",0,"2",15.8,"48507",NA,NA,NA,NA,NA,7,"TX",6,9
