"fips","Name","pov_perc_all","pov_perc_under_18","pov_perc_under_5","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment"
"48039","Brazoria County","8.3000000000000007","10",".","1.6637999999999999","0.22159999999999999","16.408200000000001","2.8521999999999998","2.6145",370200,894,521,"     4.8"
"48041","Brazos County","22.300000000000001","19.5",".","1.6265000000000001","0.1925","19.0002","2.3435000000000001","2.7351999999999999",226758,658,425,"     2.8"
"48043","Brewster County","14","16.600000000000001",".","2.2776999999999998","*","12.05","*","1.5429999999999999",9267,41,47,"     3.2"
"48045","Briscoe County","13.4","22.800000000000001",".","*","0","14.8026","*","*",1516,NA,NA,"     3.1"
"48047","Brooks County","28.699999999999999","45",".","2.0089000000000001","*","22.767900000000001","3.6829999999999998","3.5714000000000001",7114,588,633,"     6.4"
"48049","Brown County","15.6","22.300000000000001",".","1.5848","0.31080000000000002","21.115600000000001","2.1442000000000001","4.8167",37924,156,150,"     3.8"
"48051","Burleson County","13.1","19.899999999999999",".","2.0415999999999999","0","16.259599999999999","2.4060999999999999","2.4790000000000001",18389,62,63,"     3.3"
"48053","Burnet County","9.5","16.399999999999999",".","2.0209999999999999","*","15.978300000000001","3.9283000000000001","1.7936000000000001",47542,428,452,"     2.7"
"48055","Caldwell County","12.699999999999999","18.600000000000001",".","2.3239999999999998","*","17.924499999999998","3.9577","3.1753",43247,194,100,"     3.2"
"48057","Calhoun County","12.4","21.399999999999999",".","1.8653999999999999","*","18.4877","1.8321000000000001","3.1979000000000002",21561,56,32,"     3.3"
"48059","Callahan County","12.199999999999999","19",".","1.8113999999999999","0","17.974900000000002","2.7867999999999999","2.601",13994,6,5,"     3.3"
"48061","Cameron County","24.399999999999999","34.600000000000001",".","2.2909000000000002","0.2913","20.351700000000001","2.3376000000000001","3.6755",423908,1115,902,"     6.1"
"48063","Camp County","16.699999999999999","24.800000000000001",".","1.59","*","14.5372","2.7256999999999998","3.7479",13033,26,10,"     4.1"
"48065","Carson County","8.3000000000000007","10.699999999999999",".","*","*","14.7668","2.8496999999999999","2.4611000000000001",6005,25,25,"     2.7"
"48067","Cass County","17.699999999999999","25.600000000000001",".","1.2934000000000001","*","18.394600000000001","3.2231999999999998","3.0179",30119,86,62,"     4.6"
"48069","Castro County","15.300000000000001","20.399999999999999",".","1.8120000000000001","0","11.0985","1.6988000000000001","1.6988000000000001",7665,18,11,"     2.5"
"48071","Chambers County","9.3000000000000007","11",".","1.1181000000000001","*","17.029800000000002","4.6731999999999996","1.9209000000000001",42454,98,40,"     5.9"
"48073","Cherokee County","16.699999999999999","24.399999999999999",".","1.6355","*","19.263999999999999","3.3024","3.5383",52592,130,74,"     4.4"
"48075","Childress County","21.399999999999999","24.100000000000001",".","2.7685","0","14.507199999999999","2.5470999999999999","1.9934000000000001",7291,60,65,"     2.9"
"48077","Clay County","11.1","14.6",".","1.6446000000000001","0","20.689699999999998","5.6233000000000004","1.9629000000000001",10456,20,21,"     3.4"
"48079","Cochran County","19.199999999999999","29.399999999999999",".","*","*","14.0921","*","*",2836,3,1,"     4.8"
"48081","Coke County","11.4","18",".","*","0","16.883099999999999","3.4091","3.2467999999999999",3370,NA,NA,"     3.5"
"48083","Coleman County","16","28.100000000000001",".","0.97089999999999999","*","16.450900000000001","1.5102","1.9417",8397,7,2,"     4.1"
"48085","Collin County","6.2000000000000002","6.7000000000000002",".","1.3895999999999999","0.1328","19.5319","2.2955999999999999","2.2433999999999998",1005146,1010,705,"     2.9"
"48087","Collingsworth County","16.899999999999999","25.5",".","*","0","14.7705","2.7944","2.5948000000000002",2962,10,4,"     2.7"
"48089","Colorado County","12.699999999999999","18.399999999999999",".","1.248","*","14.6906","1.1180000000000001","2.8860999999999999",21217,46,53,"     3.4"
"48091","Comal County","7.5","9.4000000000000004",".","1.5731999999999999","0.16750000000000001","15.402200000000001","2.5577000000000001","1.6341000000000001",148373,282,196,"     3.1"
"48093","Comanche County","15.9","24",".","1.2504999999999999","*","17.741299999999999","1.3286","2.0710999999999999",13534,42,29,"     3.0"
"48095","Concho County","13.5","20.899999999999999",".","*","0","16.700199999999999","2.6156999999999999","2.8169",4276,14.02,8.34,"     2.6"
"48097","Cooke County","11.300000000000001","16.100000000000001",".","1.6189","*","16.4496","2.9958999999999998","2.3073999999999999",40574,70,38,"     3.1"
"48099","Coryell County","12.699999999999999","16.800000000000001",".","2.5535000000000001","0.24610000000000001","20.12","4.9222999999999999","2.6610999999999998",74808,77,74,"     4.1"
"48101","Cottle County","17.899999999999999","31.699999999999999",".","*","0","11.578900000000001","0","*",1389,NA,NA,"     3.0"
"48103","Crane County","9","12.9",".","2.9557000000000002","*","19.2118","2.7094","3.9409000000000001",4794,12,3,"     6.3"
"48105","Crockett County","12.4","17.699999999999999",".","*","0","10.772399999999999","*","2.6423000000000001",3499,30,10,"     4.5"
"48107","Crosby County","19.800000000000001","30.300000000000001",".","2.2107000000000001","*","17.685300000000002","2.0806","3.1208999999999998",5779,8,10,"     3.6"
"48109","Culberson County","18.600000000000001","29.399999999999999",".","*","0","12.3249","*","*",2204,10,0,"     2.9"
"48111","Dallam County","11.1","16",".","*","0","9.2375000000000007","1.6129","2.0528",7200,17.9,10.85,"     1.8"
"48113","Dallas County","13.699999999999999","20.100000000000001",".","1.897","0.16739999999999999","19.7851","3.8784999999999998","3.1387999999999998",2637772,5210,4005,"     3.7"
"48115","Dawson County","18.699999999999999","24.399999999999999",".","1.0566","*","12.367900000000001","1.4916","1.9267000000000001",12619,39,20,"     4.6"
"48117","Deaf Smith County","15.5","22.600000000000001",".","1.2847999999999999","0","11.4026","1.6595","1.9806999999999999",18760,73,41,"     2.5"
"48119","Delta County","14.300000000000001","21.5",".","*","*","15.8849","3.9445999999999999","3.9445999999999999",5349,17,6,"     3.6"
