Fiscal Year,County,Adult Disabled 18-64: Population,Adult Disabled 18-64: % of Population,65 and older: Population,65 and older: % of Population,Total Population
2021,San Patricio,5138,7,11823,16,72040
2021,San Saba,372,6,1479,25,5856
2021,Schleicher,145,4,684,21,3325
2021,Scurry,1218,7,2797,15,18541
2021,Shackelford,339,10,732,21,3414
2021,Shelby,2092,8,4645,18,25537
2021,Sherman,246,7,600,18,3299
2021,Smith,15882,7,41357,17,237577
2021,Somervell,500,5,2125,23,9388
2021,Starr,5464,8,8375,13,65010
2021,Stephens,896,9,2031,21,9570
2021,Sterling,99,8,326,26,1257
2021,Stonewall,129,8,482,32,1524
2021,Sutton,128,3,950,22,4406
2021,Swisher,524,7,1500,20,7365
2021,Tarrant,119131,5,275973,13,2178720
2021,Taylor,10565,8,21645,15,140207
2021,Terrell,40,4,342,32,1057
2021,Terry,905,7,2051,16,13096
2021,Throckmorton,127,8,419,28,1513
2021,Titus,1943,6,5311,16,32989
2021,Tom Green,8155,7,20091,16,124765
2021,Travis,60827,5,138844,11,1317306
2021,Trinity,1823,13,3976,28,14183
2021,Tyler,2454,12,4874,23,21313
2021,Upshur,3785,9,8366,20,41899
2021,Upton,153,4,797,20,4056
2021,Uvalde,2058,7,4682,17,28166
2021,Val Verde,3588,7,7353,15,48180
2021,Van Zandt,4738,8,12424,22,55778
2021,Victoria,6869,7,15996,16,98869
2021,Walker,2915,4,10537,14,74751
2021,Waller,3454,7,7343,14,51529
2021,Ward,785,6,1931,14,13986
2021,Washington,2069,6,7822,22,35306
2021,Webb,16516,6,29007,10,278650
2021,Wharton,2875,7,7890,19,41999
2021,Wheeler,359,6,1329,23,5813
2021,Wichita,12019,9,22532,17,133234
2021,Wilbarger,1417,11,2720,21,12973
2021,Willacy,1943,9,3242,15,22115
2021,Williamson,32975,5,81282,13,609818
2021,Wilson,3411,6,9746,18,52777
2021,Winkler,509,5,1133,12,9569
2021,Wise,6056,9,11884,18,66500
2021,Wood,4100,9,12788,28,45611
2021,Yoakum,368,4,1283,14,9404
2021,Young,1183,6,4269,23,18730
2021,Zapata,1218,8,1970,14,14418
2021,Zavala,1423,11,1774,14,12780
2021,Unknown,,,,,
2021,Out of State,,,,,
2021,None Specified,,,,,
2020,Anderson,5225,9,9007,15,58199
2020,Andrews,1082,5,2185,10,22269
2020,Angelina,8407,9,14825,16,90437
2020,Aransas,2217,8,7656,28,27699
2020,Archer,535,6,1746,21,8344
2020,Armstrong,72,4,578,30,1948
2020,Atascosa,2893,6,7929,15,51831
2020,Austin,2122,7,6276,21,30402
2020,Bailey,456,6,1107,14,7692
