Fiscal Year,County,Region,Children in DFPS Responsibility
2018,Deaf Smith,1-Lubbock,61
2018,Delta,4-Tyler,13
2018,Denton,3-Arlington,867
2018,Dickens,1-Lubbock,5
2018,Dimmit,8-San Antonio,52
2018,Donley,1-Lubbock,18
2018,Duval,11-Edinburg,39
2018,Eastland,2-Abilene,58
2018,Ector,9-Midland,354
2018,Edwards,8-San Antonio,2
2018,El Paso,10-El Paso,614
2018,Ellis,3-Arlington,121
2018,Erath,3-Arlington,52
2018,Falls,7-Austin,61
2018,Fannin,3-Arlington,128
2018,Fayette,7-Austin,54
2018,Fisher,2-Abilene,16
2018,Floyd,1-Lubbock,20
2018,Foard,2-Abilene,4
2018,Fort Bend,6-Houston,305
2018,Franklin,4-Tyler,22
