"fips","Name","pov_perc_all","pov_perc_under_18","pov_perc_under_5","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","County","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","percent_comp"
48021,"Bastrop County",10.8,16.4,NA,2.3939,NA,18.6427,3.6247,2.4277,86976,304,271,3.1,"Bastrop County","86,105",32,37.2,"24",27.9,"55",63.9,8,9.3,"18",20.9,"25",29,"Metropolitan Statistical Area","Outlying",12420,"Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,0.914285714285714
48023,"Baylor County",15.3,21.8,NA,1.7949,NA,20.8974,4.2308,3.0769,3582,7.07,4.89,2.6,"Baylor County","3,624",0,0,"0",0,"2",55.2,1,27.6,"0",0,"6",165.6,NA,NA,NA,NA,NA,8,"TX",6,6,0.771428571428571
48025,"Bee County",23.1,26.1,NA,2.6349,NA,18.6115,5.5207,2.6767,32587,98,70,6.3,"Bee County","34,445",5,14.5,"1",2.9,"12",34.8,5,14.5,"3",8.7,"14",40.6,"Micropolitan Statistical Area","Central",13300,"Beeville, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,0.914285714285714
48027,"Bell County",14.7,21.4,NA,2.4743,0.1624,19.3586,3.7321,2.73,355642,797,257,4.1,"Bell County","353,629",97,27.4,"204",57.7,"355",100.4,70,19.8,"206",58.3,"304",86,"Metropolitan Statistical Area","Central",28660,"Killeen-Temple, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,0.942857142857143
48029,"Bexar County",15,20.5,NA,1.7822,0.2527,16.3502,3.1242,2.6771,1986049,3867,3657,3.6,"Bexar County","2,093,502",508,24.3,"730",34.9,"1,948",93,181,8.6,"1,071",51.2,"1,714",81.9,"Metropolitan Statistical Area","Central",41700,"San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Central",1,"TX",1,1,0.942857142857143
48031,"Blanco County",9.8,14.6,NA,2.0659,NA,14.0679,2.607,1.033,11702,24,11,2.5,"Blanco County","11,504",3,26.1,"2",17.4,"6",52.2,1,8.7,"3",26.1,"4",34.8,NA,NA,NA,NA,NA,8,"TX",6,4,0.771428571428571
48033,"Borden County",7.5,8.5,NA,NA,0,NA,0,NA,648,1.61,0.45,2,"Borden County","685",0,0,"0",0,"0",0,0,0,"0",0,"0",0,NA,NA,NA,NA,NA,8,"TX",6,7,0.714285714285714
48035,"Bosque County",12.5,19.2,NA,2.0747,NA,19.3983,2.2476,3.2503,18691,29,21,3.3,"Bosque County","17,765",5,28.1,"1",5.6,"7",39.4,4,22.5,"4",22.5,"12",67.5,NA,NA,NA,NA,NA,6,"TX",6,4,0.771428571428571
48037,"Bowie County",17.4,23.4,NA,1.5431,0.1163,18.4166,3.1483,2.9777,94324,793,453,4.3,"Bowie County","92,570",20,21.6,"16",17.3,"63",68.1,14,15.1,"19",20.5,"109",117.7,"Metropolitan Statistical Area","Central",45500,"Texarkana, TX-AR","Metropolitan Statistical Area-Central",3,"TX",4,2,0.942857142857143
48039,"Brazoria County",8.3,10,NA,1.6638,0.2216,16.4082,2.8522,2.6145,370200,894,521,4.8,"Brazoria County","375,869",66,17.6,"65",17.3,"210",55.9,31,8.2,"86",22.9,"217",57.7,"Metropolitan Statistical Area","Central",26420,"Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,0.942857142857143
48041,"Brazos County",22.3,19.5,NA,1.6265,0.1925,19.0002,2.3435,2.7352,226758,658,425,2.8,"Brazos County","229,410",45,19.6,"24",10.5,"153",66.7,27,11.8,"48",20.9,"224",97.6,"Metropolitan Statistical Area","Central",17780,"College Station-Bryan, TX","Metropolitan Statistical Area-Central",3,"TX",4,2,0.942857142857143
48043,"Brewster County",14,16.6,NA,2.2777,NA,12.05,NA,1.543,9267,41,47,3.2,"Brewster County","9,133",1,10.9,"1",10.9,"13",142.3,1,10.9,"1",10.9,"12",131.4,NA,NA,NA,NA,NA,7,"TX",6,11,0.742857142857143
48045,"Briscoe County",13.4,22.8,NA,NA,0,14.8026,NA,NA,1516,NA,NA,3.1,"Briscoe County","1,568",0,0,"0",0,"0",0,0,0,"0",0,"0",0,NA,NA,NA,NA,NA,9,"TX",6,12,0.657142857142857
48047,"Brooks County",28.7,45,NA,2.0089,NA,22.7679,3.683,3.5714,7114,588,633,6.4,"Brooks County","7,175",0,0,"0",0,"0",0,0,0,"0",0,"1",13.9,NA,NA,NA,NA,NA,7,"TX",6,9,0.771428571428571
