"fips","Name","pov_perc_all","pov_perc_under_18","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","opioid_per_100","alc_est_per_capita","vet_percent_2020","percent_uninsured","Temp_MH_Services_NewApp_2020","Ext_MH_Services_NewApp_2020","Modification_NewApp_2020","Auth_Meds_NewApp_2020","Temp_MH_Services_Hearing_2020","Ext_MH_Services_Hearing_2020","Modification_Hearing_2020","Auth_Meds_Hearing_2020","Temp_MH_Services_NewApp_2020_per100k","Ext_MH_Services_NewApp_2020_per100k","Modification_NewApp_2020_per100k","Auth_Meds_NewApp_2020_per100k","Temp_MH_Services_Hearing_2020_per100k","Ext_MH_Services_Hearing_2020_per100k","Modification_Hearing_2020_per100k","Auth_Meds_Hearing_2020_per100k","X2020.Psychiatrist.Total","Ratio.of.Psychiatrists.to.100.000.Population","Total Traffic Fatalities","Total Traffic Fatalities BAC gt 08","Percent Traffic Fatalities BAC gt 08","Traffic_Fatalities_per_100k","Total.number.of.waivered.providers","Patient.capacity","High.need.for.treatment.services","Low.to.no.patient.capacity","Frequent_Mental_Distress","Average_Bad_MH_Days","Deaths_Suicide","Suicide_Rate_AA","Perc_Food_Insecure","Perc_Limited_Acc_Healthy_Foods","Perc_Physically_Inactive","Perc_With_Acc_Exercise","Income_80th","Income_20th","Income_Ratio","Perc_Severe_Housing_Issues","Dev2019","I_35","percent_comp"
"48041","Brazos","22.300000000000001","19.5",1.6265,0.1925,19.0002,2.3435,2.7352,226758,658,425,"     2.8",229410,"45",19.6,"24",10.5,"153",66.7,"27",11.8,"48",20.9,"224",97.6,"Metropolitan Statistical Area","Central","17780","College Station-Bryan, TX","Metropolitan Statistical Area-Central",3,"TX",4,2,39.7,14.9669230999491,4.05945717108048,14.7291049361229,135,0,0,0,0,0,0,0,58.8466065123578,0,0,0,0,0,0,0,11,4.8,15,6,37,6.53851183470642,"9","515","No","Yes",15,4.4,106,9,16,12,28,89,110939,18366,6,25,6.492141614,"Non I-35 Corridor",0.987012987012987
"48043","Brewster","14","16.600000000000001",2.2777,,12.05,,1.543,9267,41,47,"     3.2",9133,"1",10.9,"1",10.9,"13",142.3,"1",10.9,"1",10.9,"12",131.4,,,,,,7,"TX",6,11,20.2,52.3779593547035,8.50618059920386,24.4458824396133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.9493047191503,"0","0","No","Yes",13,4,18,42,16,16,29,64,94835,15127,6.3,17,0.071630224,"Non I-35 Corridor",0.896103896103896
"48045","Briscoe","13.4","22.800000000000001",,0,14.8026,,,1516,,,"     3.1",1568,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,,,,,,9,"TX",6,12,0.2,,5.15679442508711,23.2821360230446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63.7755102040816,"0","0","No","Yes",16,4.9,,,16,48,34,29,90583,18644,4.9,8,0.211373671,"Non I-35 Corridor",0.818181818181818
"48047","Brooks","28.699999999999999","45",2.0089,,22.7679,3.683,3.5714,7114,588,633,"     6.4",7175,"0",0,"0",0,"0",0,"0",0,"0",0,"1",13.9,,,,,,7,"TX",6,9,18.3,,3.94290559638214,22.7710723876953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,17,41.8118466898955,"0","0","No","Yes",16,4.8,,,22,10,44,35,65132,7572,8.6,25,0.399577654,"Non I-35 Corridor",0.87012987012987
"48049","Brown","15.6","22.300000000000001",1.5848,0.3108,21.1156,2.1442,4.8167,37924,156,150,"     3.8",38923,"29",74.5,"7",18,"51",131,"21",54,"15",38.5,"30",77.1,"Micropolitan Statistical Area","Central","15220","Brownwood, TX","Micropolitan Statistical Area-Central",5,"TX",5,8,59.7,,7.79629872686704,27.9468238353729,2,0,0,0,0,0,0,0,5.13835007579066,0,0,0,0,0,0,0,1,2.6,,,,,"0","0","No","Yes",15,4.7,34,18,15,13,30,49,97711,22139,4.4,11,1.201536044,"Non I-35 Corridor",0.922077922077922
"48051","Burleson","13.1","19.899999999999999",2.0416,0,16.2596,2.4061,2.479,18389,62,63,"     3.3",17718,"1",5.6,"0",0,"0",0,"0",0,"0",0,"4",22.6,"Metropolitan Statistical Area","Outlying","17780","College Station-Bryan, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,16.9,22.6731663076749,7.19306201110985,18.638750910759,6,0,6,0,5,0,0,0,33.8638672536404,0,33.8638672536404,0,28.2198893780336,0,0,0,0,0,4,2,50,22.5759115024269,"0","0","No","Yes",15,4.6,13,16,14,5,31,38,115686,30251,3.8,13,1.291284371,"Non I-35 Corridor",0.987012987012987
"48053","Burnet","9.5","16.399999999999999",2.021,,15.9783,3.9283,1.7936,47542,428,452,"     2.7",48196,"19",39.4,"10",20.7,"26",53.9,"4",8.3,"7",14.5,"45",93.4,,,,,,6,"TX",6,4,13.9,,7.83228170160798,12.8642752766609,0,1,0,0,0,0,0,0,0,2.07486098431405,0,0,0,0,0,0,3,6.2,8,3,31,16.5988878745124,"6","495","Yes","No",14,4.4,41,18,14,7,29,51,116108,32076,3.6,14,1.228832417,"Non I-35 Corridor",0.896103896103896
"48055","Caldwell","12.699999999999999","18.600000000000001",2.324,,17.9245,3.9577,3.1753,43247,194,100,"     3.2",44284,"12",27.1,"13",29.4,"19",42.9,"3",6.8,"9",20.3,"15",33.9,"Metropolitan Statistical Area","Outlying","12420","Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,6.5,,5.18710633567988,27.741950750351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,36,15.8070634992322,"0","0","No","Yes",15,4.6,29,13,15,7,36,45,105089,25485,4.1,20,1.356069559,"I-35 Corridor",0.961038961038961
"48057","Calhoun","12.4","21.399999999999999",1.8654,,18.4877,1.8321,3.1979,21561,56,32,"     3.3",22840,"0",0,"2",8.8,"10",43.8,"1",4.4,"1",4.4,"16",70.1,"Micropolitan Statistical Area","Central","38920","Port Lavaca, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,29.8,,6.46573162240127,22.8458166122437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,80,8.75656742556918,"0","0","Yes","Yes",14,4.4,14,14,14,28,36,54,104148,28480,3.7,18,1.184050677,"Non I-35 Corridor",0.961038961038961
"48059","Callahan","12.199999999999999","19",1.8114,0,17.9749,2.7868,2.601,13994,6,5,"     3.3",13456,"3",22.3,"2",14.9,"4",29.7,"3",22.3,"2",14.9,"2",14.9,"Metropolitan Statistical Area","Outlying","10180","Abilene, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,6.7,,8.78319229646922,27.9468238353729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.4,7,1,9,52.0214030915577,"0","0","No","Yes",16,4.8,18,26,15,9,28,42,95485,24310,3.9,13,0.670780252,"Non I-35 Corridor",0.974025974025974
