"fips","Name","pov_perc_all","pov_perc_under_18","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","opioid_per_100","alc_est_per_capita","vet_percent_2020","percent_uninsured","I_35","percent_comp"
"48051","Burleson","13.1","19.899999999999999",2.0416,0,16.2596,2.4061,2.479,18389,62,63,"     3.3","17,718","1",5.6,"0",0,"0",0,"0",0,"0",0,"4",22.6,"Metropolitan Statistical Area","Outlying","17780","College Station-Bryan, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,16.9,22.6731663076749,7.19306201110985,18.638750910759,"Non I-35 Corridor",0.973684210526316
"48053","Burnet","9.5","16.399999999999999",2.021,NA,15.9783,3.9283,1.7936,47542,428,452,"     2.7","48,196","19",39.4,"10",20.7,"26",53.9,"4",8.3,"7",14.5,"45",93.4,NA,NA,NA,NA,NA,6,"TX",6,4,13.9,NA,7.83228170160798,12.8642752766609,"Non I-35 Corridor",0.789473684210526
"48055","Caldwell","12.699999999999999","18.600000000000001",2.324,NA,17.9245,3.9577,3.1753,43247,194,100,"     3.2","44,284","12",27.1,"13",29.4,"19",42.9,"3",6.8,"9",20.3,"15",33.9,"Metropolitan Statistical Area","Outlying","12420","Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,6.5,NA,5.18710633567988,27.741950750351,"I-35 Corridor",0.921052631578947
"48057","Calhoun","12.4","21.399999999999999",1.8654,NA,18.4877,1.8321,3.1979,21561,56,32,"     3.3","22,840","0",0,"2",8.8,"10",43.8,"1",4.4,"1",4.4,"16",70.1,"Micropolitan Statistical Area","Central","38920","Port Lavaca, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,29.8,NA,6.46573162240127,22.8458166122437,"Non I-35 Corridor",0.921052631578947
"48059","Callahan","12.199999999999999","19",1.8114,0,17.9749,2.7868,2.601,13994,6,5,"     3.3","13,456","3",22.3,"2",14.9,"4",29.7,"3",22.3,"2",14.9,"2",14.9,"Metropolitan Statistical Area","Outlying","10180","Abilene, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,6.7,NA,8.78319229646922,27.9468238353729,"Non I-35 Corridor",0.947368421052632
"48061","Cameron","24.399999999999999","34.600000000000001",2.2909,0.2913,20.3517,2.3376,3.6755,423908,1115,902,"     6.1","427,881","59",13.8,"52",12.2,"212",49.5,"77",18,"83",19.4,"254",59.4,"Metropolitan Statistical Area","Central","15180","Brownsville-Harlingen, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,22.3,9.50080400553897,3.81789808962583,29.8536658287048,"Non I-35 Corridor",0.973684210526316
"48063","Camp","16.699999999999999","24.800000000000001",1.59,NA,14.5372,2.7257,3.7479,13033,26,10,"     4.1","13,322","3",22.5,"0",0,"5",37.5,"2",15,"3",22.5,"12",90.1,"Micropolitan Statistical Area","Outlying","34420","Mount Pleasant, TX","Micropolitan Statistical Area-Outlying",6,"TX",6,6,38.1,NA,7.03626444159178,22.6406246423721,"Non I-35 Corridor",0.921052631578947
"48065","Carson","8.3000000000000007","10.699999999999999",NA,NA,14.7668,2.8497,2.4611,6005,25,25,"     2.7","5,799","0",0,"0",0,"2",34.5,"2",34.5,"0",0,"0",0,"Metropolitan Statistical Area","Outlying","11100","Amarillo, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2,2.7,NA,6.88823833304632,23.2821360230446,"Non I-35 Corridor",0.894736842105263
"48067","Cass","17.699999999999999","25.600000000000001",1.2934,NA,18.3946,3.2232,3.0179,30119,86,62,"     4.6","30,327","3",9.9,"4",13.2,"11",36.3,"4",13.2,"3",9.9,"9",29.7,NA,NA,NA,NA,NA,6,"TX",6,6,44.5,NA,8.7474520278344,20.0122356414795,"Non I-35 Corridor",0.789473684210526
"48069","Castro","15.300000000000001","20.399999999999999",1.812,0,11.0985,1.6988,1.6988,7665,18,11,"     2.5","7,103","1",14.1,"0",0,"2",28.2,"2",28.2,"0",0,"4",56.3,NA,NA,NA,NA,NA,6,"TX",6,6,9.7,NA,2.64550264550265,23.2821360230446,"Non I-35 Corridor",0.815789473684211
